"id","鄉鎮市區","交易標的","土地區段位置建物區段門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位移轉總面積.平方公尺.","車位總價元","備註","編號","主建物面積","附屬建物面積","陽台面積","電梯","移轉編號","X","X.1","X.2","X.3","X.4","Response_X","Response_Y","Count"
1,"西區","房地(土地+建物)","五權五街246巷15弄1~30號",83.65,"都市：其他:第二種住宅區","","",1090701,"土地3建物1車位0","全","三層","透天厝","住家用","鋼筋混凝土造",781024,207.45,4,2,3,"有","有",14800000,71342,"",0,0,"親友、員工、共有人或其他特殊關係間之交易","","RPSPMLPJQHPFFAB68DA","150.11","8.92","12.38","無","","","","","",215016.255,2670220.977,2
2,"東區","房地(土地+建物)+車位","東光園路177巷1~30號",34.14,"都市：其他:第二種住宅區","","",1090806,"土地3建物1車位1","二層，三層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",860106,155.34,4,2,3,"有","有",6900000,44419,"坡道平面",0,0,"","RPPPMLRKQHPFFAB68DA","91.27","6.59","10.55","無","","","","","","",219020.133,2669378.22,4
3,"南區","房地(土地+建物)","美和街91~120號",10.93,"都市：其他:第二種住宅區","","",1090819,"土地1建物1車位0","七層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",830514,63.4,1,2,1,"有","有",3130000,49369,"",0,0,"","RPOOMLKLQHPFFAB87DA","44.43","0","1.29","有","","","","","","",216100.027,2668606.165,2
4,"西區","房地(土地+建物)","五權西五街28巷1~30號",34.8,"都市：其他:第二種住宅區","","",1090513,"土地3建物1車位0","一層","二層","公寓(5樓含以下無電梯)","住家用","加強磚造",610519,33.37,1,1,1,"有","無",2560000,76716,"",0,0,"","RPSNMLSJRHPFFAB88DA","33.37","0","0","無","","","","","","",215341.864,2670392.245,3
5,"南區","房地(土地+建物)","明德街1~30號",13.43,"都市：其他:第二種住宅區","","",1090821,"土地1建物1車位0","六層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",671209,56.97,2,1,1,"有","有",2000000,35106,"",0,0,"","RPUPMLRJRHPFFAB56DA","56.97","0","0","有","2","","","","","",217919.746,2668353.152,4
6,"西區","房地(土地+建物)","華美街154巷1~30號",39.19,"都市：其他:第二種住宅區","","",1090728,"土地1建物1車位0","一層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",680517,75.97,3,2,2,"有","無",8650000,113861,"",0,0,"其他增建","","RPRQMLSJRHPFFAB09DA","75.97","0","0","無","3","","","","",215382.714,2671102.703,3
7,"北區","房地(土地+建物)","青島西街61~90號",16.53,"都市：其他:第二種住宅區","","",1090808,"土地1建物1車位0","六層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",731001,81.26,2,2,2,"有","有",3900000,47994,"",0,0,"","RPOOMLSJQHPFFBB58DA","58.81","0","1.92","有","4","","","","","",216793.788,2673916.665,8
8,"北屯區","房地(土地+建物)+車位","軍福十六路271~300號",16.57,"都市：其他:第二種商業區","","",1090809,"土地1建物1車位1","十二層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1030603,184.84,3,2,2,"有","有",10800000,62390,"坡道平面",30.97,1200000,"","RPTNMLTJQHPFFBB09DA","90.37","0.66","13.3","有","","","","","","",221583.967,2674438.819,3
9,"北區","房地(土地+建物)+車位","太原路二段181~210號",13.29,"都市：其他:第一種商業區","","",1090810,"土地1建物1車位1","十層","十四層","住宅大樓(11層含以上有電梯)","住家用","見其他登記事項",930903,127.23,2,1,2,"有","有",7500000,58948,"坡道機械",0,0,"","RPRSMLPLQHPFFBB56DA","74.2","2.65","8.41","有","5","","","","","",217957.866,2673317.967,6
10,"北區","房地(土地+建物)+車位","五常街211~240號",18.93,"都市：其他:第二種住宅區","","",1090813,"土地1建物1車位1","九層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",840415,139.01,3,2,2,"有","有",9180000,66038,"坡道平面",0,0,"","RPVRMLLMQHPFFBB56DA","76.07","0","4.81","有","","","","","","",217501.776,2673097.751,6
11,"北區","房地(土地+建物)","學士路271~300號",5.03,"都市：其他:第一種商業區","","",1090629,"土地1建物1車位0","十四層","十八層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",980805,72.85,1,1,1,"有","有",5880000,80714,"",0,0,"","RPOOMLMJRHPFFBB08DA","44.34","0","7.56","有","","","","","","",217591.331,2673084.12,7
12,"北屯區","房地(土地+建物)","昌平路二段4巷31~60號",15.02,"都市：其他:第二種住宅區","","",1090809,"土地1建物1車位0","一層","九層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",830426,94.35,5,2,2,"有","有",6460000,68468,"",0,0,"其他增建","","RPQQMLNJRHPFFBB58DA","64.4","7.98","0","有","6","","","","",218591.752,2674906.166,5
13,"北屯區","房地(土地+建物)","文心路四段271~300號",5.92,"都市：其他:第三種住宅區。","","",1090725,"土地1建物1車位0","五層","二十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1020725,63.68,1,1,1,"有","有",5620000,88254,"",0,0,"","RPTOMLRJRHPFFBB09DA","35.34","1.63","5.98","有","7","","","","","",219261.56,2674001.986,5
14,"北區","房地(土地+建物)","三民路三段315巷1~30號",3.85,"都市：其他:第二種住宅區","","",1090901,"土地1建物1車位0","六層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",800415,31.72,1,1,1,"有","有",1780000,56116,"",0,0,"","RPXQMLRJRHPFFBB07DA","20.34","0","6.57","有","","","","","","",218302.454,2672481.83,5
15,"北屯區","房地(土地+建物)+車位","東光路871~900號",7.16,"都市：其他:第三種住宅區。","","",1090721,"土地1建物1車位1","十四層","十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",810401,87.42,2,1,1,"有","有",4000000,45756,"坡道機械",0,0,"含土地增值稅或其他稅費","含仲介費","含地政士服務費","","RPVRMLRJRHPFFBB96DA","59.29","1.28","5.8","有","9","","",219693.747,2674082.308,4
16,"北屯區","房地(土地+建物)+車位","軍福九路601~630號",25.15,"都市：其他:第三種住宅區。","","",1090720,"土地1建物1車位1","九層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1020625,223.92,4,2,2,"有","有",13380000,59753,"坡道平面",23.5,0,"","RPPNMLSJRHPFFBB68DA","119.69","2.79","13.86","有","","","","","","",220950.711,2673901.811,3
17,"北區","房地(土地+建物)","健行路421~450號",3.96,"都市：其他:第二種住宅區","","",1090901,"土地1建物1車位0","九層","十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",840526,33.83,1,1,1,"有","有",1820000,53798,"",0,0,"","RPSNMLSJRHPFFBB98DA","18.18","0","2.76","有","","","","","","",215996.552,2672699.688,6
18,"北區","房地(土地+建物)","中清路一段301~330號",3.17,"都市：其他:第二種住宅區","","",1090814,"土地4建物1車位0","九層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",710121,24.26,1,1,1,"有","有",1350000,55647,"",0,0,"","RPOOMLSJRHPFFBB68DA","19.39","0","0","有","10","","","","","",216638.239,2674260.594,8
19,"北區","房地(土地+建物)+車位","中清路一段661~690號",16.45,"都市：其他:第二種住宅區","","",1090718,"土地1建物1車位1","十六層","二十層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",880616,200.83,4,2,2,"有","有",10180000,50690,"坡道平面",0,0,"","RPPOMLSJRHPFFBB78DA","109.65","0","15.95","有","","","","","","",216638.239,2674260.594,8
20,"北區","房地(土地+建物)","雙十路二段1巷1~30號",33.2,"都市：其他:第二種住宅區","","",1090807,"土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",700930,106.08,4,1,4,"有","無",7180000,67685,"",0,0,"","RPUOMLSJRHPFFBB66DA","90.35","0","15.73","無","11","","","","","",218290.725,2671844.561,6
21,"北屯區","房地(土地+建物)+車位","東光路852巷1~30號",10.02,"都市：其他:第三種住宅區。","","",1090802,"土地1建物1車位1","八層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",810918,122.94,3,2,2,"有","有",6120000,49780,"坡道機械",0,0,"陽台外推","","RPUOMLTJRHPFFBB76DA","83.9","0.76","12.88","有","","","","","",219703.87,2673693.765,6
22,"北屯區","房地(土地+建物)","松和街191巷31~60號",71,"都市：其他:第二種住宅區","","",1090823,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造",740617,119.94,3,2,2,"有","無",12500000,104219,"",0,0,"買方除總價外，另支付賣方土地增值稅84579元。頂樓加蓋","其他增建","","RPVOMLTJRHPFFBB86DA","100.77","14.66","4.51","無","","","","",218626.643,2675147.365,3
23,"北屯區","房地(土地+建物)+車位","梅川東路五段451~480號",36.27,"都市：其他:第三種住宅區。","","",1090714,"土地1建物1車位2","十七層","十九層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",980611,309.28,4,2,3,"有","有",23600000,76306,"坡道平面",56.22,0,"","RPTNMLTJRHPFFBB56DA","150.61","9.15","19.71","有","","","","","","",217699.146,2675872.882,3
24,"北區","房地(土地+建物)","陝西二街1~30號",24.41,"都市：其他:第二種住宅區","","",1090811,"土地1建物1車位0","六層","九層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",800104,130.76,3,2,2,"有","有",5800000,44356,"",0,0,"","RPQOMLTJRHPFFBB98DA","93.51","4.61","9.89","有","","","","","","",216222.508,2673930.183,7
25,"西屯區","房地(土地+建物)+車位","國安一路31~60號",12.57,"都市：其他:住宅區","","",1090804,"土地1建物1車位1","五層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",960108,112.37,2,1,1,"有","有",8250000,73418,"坡道平面",23.61,0,"","RPTTMLQJQHPFFCB86DA","51.02","1.38","9.99","有","","","","","","",210377.127,2676368.953,2
26,"南屯區","房地(土地+建物)+車位","海德街1~30號",23.25,"都市：其他:第三之一種住宅區","","",1090727,"土地1建物1車位1","六層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",970620,198.96,4,2,2,"有","有",16980000,85344,"坡道平面",21.51,0,"陽台外推","","RPPOMLMKQHPFFCB28DA","107.98","4.86","13.96","有","","","","","",214001.524,2670204.631,3
27,"西屯區","房地(土地+建物)+車位","寧夏路181~210號",22.36,"都市：其他:第二種住宅區","","",1090815,"土地1建物1車位1","七層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",790613,256.2,4,2,3,"有","有",12500000,48790,"升降機械",0,0,"陽台外推","","RPPNMLPKQHPFFCB48DA","154.07","2.77","21.16","有","13","","","","",215370.916,2673957.069,7
28,"西屯區","房地(土地+建物)","至善路101巷1~30號",4.3,"都市：其他:第三之二種住宅區","","",1090816,"土地1建物1車位0","七層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",950711,31.5,1,1,1,"有","有",1700000,53968,"",0,0,"","RPQQMLLLQHPFFCB58DA","11.7","0","2.86","有","","","","","","",213584.057,2674560.305,3
29,"西屯區","房地(土地+建物)","逢甲路61~90號",13.2,"都市：其他:第二種住宅區","","",1090819,"土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",671027,57.83,2,1,1,"有","無",2950000,51012,"",0,0,"陽台外推","","RPUOMLOLQHPFFCB09DA","57.83","0","0","無","","","","","",213240.47,2674247.833,3
30,"西屯區","房地(土地+建物)","黎明路三段301~330號",3.19,"都市：其他:第二種商業區","","",1090813,"土地1建物1車位0","一層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",840220,24.16,1,0,1,"有","有",1358000,56209,"",0,0,"","RPVNMLRLQHPFFCB76DA","14.25","0","2.23","有","","","","","","",215068.758,2676777.382,2
31,"西屯區","房地(土地+建物)","天保街121~150號",5.33,"都市：其他:第二種住宅區","","",1090826,"土地1建物1車位0","三層","六層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",830416,28.35,0,0,0,"無","有",1760000,62081,"",0,0,"","RPSOMLQLQHPFFCB09DA","21.23","0","3.91","有","","","","","","",210837.159,2674607.64,1
32,"南屯區","房地(土地+建物)","惠德街81巷31~60號",44.8,"都市：其他:第二種住宅區","","",1090706,"土地2建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",701207,133.32,3,2,2,"有","無",8550000,64131,"",0,0,"親友、員工、共有人或其他特殊關係間之交易","頂樓加蓋","","RPQOMLLJRHPFFCB28DA","133.32","0","0","無","","","","",213689.219,2670446.26,4
33,"西屯區","房地(土地+建物)","工業區一路58巷11弄1~30號",4.88,"都市：其他:第二種住宅區","","",1090722,"土地1建物1車位0","五層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",800911,30.41,0,0,0,"無","有",1700000,55903,"",0,0,"","RPQNMLPJRHPFFCB58DA","17.91","0","2.79","有","","","","","","",210759.329,2674764.566,1
34,"西屯區","房地(土地+建物)+車位","青海路二段241~270號",16.01,"都市：其他:第三之二種住宅區","","",1090824,"土地1建物1車位1","十四層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",920513,159.44,3,2,2,"有","有",12000000,77364,"坡道平面",19.84,1200000,"陽台外推","","RPOOMLRJRHPFFCB68DA","77.68","7.42","16.88","有","","","","","",212905.799,2674609.569,2
35,"南屯區","房地(土地+建物)+車位","河南路四段481~510號",13.4,"都市：其他:第三種住宅區。","","",1090729,"土地2建物1車位1","八層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",870903,130.88,3,2,2,"有","有",9428000,72035,"坡道機械",0,0,"","RPOQMLRJRHPFFCB88DA","80.47","4.88","6.08","有","","","","","","",213375.481,2670909.242,4
36,"西屯區","房地(土地+建物)","寶慶街50巷31~60號",13.78,"都市：其他:第三種商業區","","",1090820,"土地2建物1車位0","九層","十層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",811105,141.5,3,2,2,"有","有",2200000,15548,"",0,0,"親友、員工、共有人或其他特殊關係間之交易","","RPUPMLRJRHPFFCB76DA","98.24","0.79","10.77","有","","","","","",214209.416,2674160.094,7
37,"南屯區","房地(土地+建物)","黎明路二段71巷1~30號",11.85,"都市：其他:第二種住宅區","","",1090623,"土地1建物1車位0","七層","八層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",821120,68.43,1,1,1,"有","有",3900000,56993,"",0,0,"","RPSPMLSJRHPFFCB66DA","46.22","0","2.29","有","","","","","","",213003.173,2671048.143,4
38,"西屯區","房地(土地+建物)+車位","臺灣大道三段661~690號",18.71,"都市：其他:第四之一種商業區","","",1090813,"土地1建物1車位3","十九層","二十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1020603,298.53,4,2,2,"有","有",20400000,68335,"坡道機械",0,0,"","RPUOMLSJRHPFFCB76DA","134.43","5.21","15.18","有","","","","","","",212873.871,2674224.262,2
39,"南屯區","房地(土地+建物)+車位","大聖街91~120號",12.58,"都市：其他:第二之一種商業區","","",1090714,"土地1建物1車位1","六層","八層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",830816,81.49,2,2,1,"有","有",6250000,76697,"坡道機械",0,0,"","RPPOMLSJRHPFFCB88DA","45.47","0.83","9.7","有","","","","","","",214579.986,2672429.819,4
40,"西屯區","房地(土地+建物)+車位","文心路三段1~30號",6.03,"都市：其他:第三種商業區","","",1090808,"土地1建物1車位1","十四層","二十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",980813,94.78,1,1,1,"有","有",7200000,75965,"坡道平面",35.9,0,"陽台外推","","RPXPMLSJRHPFFCB17DA","36.75","0.46","2.68","有","","","","","",214985.255,2673817.645,7
41,"西屯區","房地(土地+建物)","福強街91~120號",19.14,"都市：其他:第一種住宅區","","",1090818,"土地1建物1車位0","二十四層","二十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",840107,141.42,4,2,2,"有","有",6220000,43982,"",0,0,"","RPSRMLSJRHPFFCB86DA","96.06","0.83","12.41","有","19","","","","","",209945.003,2675994.452,2
42,"南屯區","房地(土地+建物)+車位","文心南路271~300號",28.76,"都市：其他:第二種商業區","","",1090811,"土地1建物1車位2","二十六層","二十九層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1031125,337.14,4,2,3,"有","有",27500000,81568,"坡道平面",53.92,0,"","RPVNMLTJRHPFFCB86DA","157.92","7.87","31.37","有","","","","","","",214251.44,2668748.146,1
43,"西屯區","房地(土地+建物)+車位","文心路三段1~30號",14.84,"都市：其他:第三種住宅區。","","",1090712,"土地1建物1車位1","五層","十層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",940824,143.51,3,2,2,"有","有",7800000,54352,"坡道平面",34.26,0,"","RPSNMLTJRHPFFCB56DA","73.61","0","8.16","有","","","","","","",214985.255,2673817.645,7
44,"神岡區","房地(土地+建物)","民權二街285巷1~30號",194,"都市：其他:農業區","","",1090726,"土地2建物1車位0","全","三層","透天厝","住家用","鋼筋混凝土造",1081115,168.69,3,2,4,"有","無",15300000,90699,"",0,0,"陽台外推","頂樓加蓋","","RPSOMLLMPHPFFDB68DA","153","0","15.69","無","","","","",218337.924,2683531.427,0
45,"豐原區","房地(土地+建物)","三民路1~30號",5.32,"都市：其他:第二種商業區","","",1090812,"土地1建物1車位0","四層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",930311,49.45,1,1,1,"有","有",3000000,60667,"",0,0,"","RPVNMLMJRHPFFDB88DA","29.25","0","3.81","有","","","","","","",221519.496,2683137.791,5
46,"豐原區","房地(土地+建物)","長壽路南二巷1~30號",252.48,"","鄉村區","乙種建築用地",1090731,"土地1建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造",950124,444.23,5,3,4,"有","無",20000000,45022,"",0,0,"","RPWNMLRJRHPFFDB86DA","402.22","0","42.01","無","","","","","","",224251.44,2682940.27,1
47,"沙鹿區","房地(土地+建物)","斗潭路211~240號",167.73,"都市：其他:第四種住宅區","","",1090806,"土地2建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造",1021009,262.98,4,3,5,"有","無",16000000,60841,"",0,0,"","RPVNMLSKQHPFFFB07DA","240.72","22.26","0","無","","","","","","",205080.611,2680879.04,4
48,"梧棲區","房地(土地+建物)","港埠路二段316巷1~30號",90,"都市：其他:第五種住宅區","","",1090817,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造",750105,130.39,5,2,2,"有","無",2200000,16872,"",0,0,"親友、員工、共有人或其他特殊關係間之交易","","RPRNMLSJRHPFFFB66DA","130.39","0","0","無","","","","","",203331.127,2683530.038,3
49,"潭子區","房地(土地+建物)","興華一路141巷1~30號",17.26,"都市：其他:住宅區","","",1090717,"土地2建物1車位0","四層","九層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",871228,98.8,3,2,2,"有","有",4800000,48583,"",0,0,"","RPSNMLNJQHPFFHB98DA","68.97","0","6.96","有","","","","","","",219599.725,2677986.669,2
50,"大里區","房地(土地+建物)","新忠路1~30號",31.06,"都市：其他:住宅區","","",1090808,"土地2建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",690105,86.22,3,2,1,"有","無",3200000,37114,"",0,0,"其他增建","","RPQRMLOKQHPFFIB86DA","86.22","0","0","無","","","","","",218541.37,2666944.609,5
51,"烏日區","房地(土地+建物)","中華路185巷1~30號",78.71,"都市：其他:第三種住宅區。","","",1090725,"土地1建物1車位0","全","三層","透天厝","住家用","鋼筋混凝土造",790702,142.87,5,2,3,"有","無",11000000,76993,"",0,0,"","RPRNMLRJRHPFFIB86DA","133.88","1.7","7.29","無","","","","","","",213437.048,2667432.177,2
52,"烏日區","房地(土地+建物)","太明路331~360號",119.87,"","鄉村區","乙種建築用地",1090812,"土地2建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造",1090310,182.32,4,3,3,"有","無",14700000,80627,"",0,0,"","RPOUMLSJRHPFFIB37DA","164.94","0","17.38","無","","","","","","",214109.149,2661196.321,1
53,"太平區","房地(土地+建物)","大興十九街7巷1~30號",116.49,"","鄉村區","乙種建築用地",1090715,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造",680610,110.4,5,2,3,"有","無",9550000,86504,"",0,0,"頂樓加蓋","其他增建","","RPPNMLRLPHPFFJB76DA","110.4","0","0","無","","","","",223742.179,2672542.919,0
54,"太平區","房地(土地+建物)","中平路順昌巷61~90號",72,"都市：其他:第一種住宅區","","",1090814,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造",650823,85.04,4,2,2,"有","無",6200000,72907,"",0,0,"其他增建","","RPUOMLSJRHPFFJB47DA","85.04","0","0","無","","","","","",221366.72,2669267.89,2
55,"太平區","房地(土地+建物)","德明路159巷31~60號",151.18,"","鄉村區","乙種建築用地",1090723,"土地1建物1車位0","全","一層","透天厝","住家用","加強磚造",690110,62.66,3,1,1,"有","無",6800000,108522,"",0,0,"","RPPPMLRKJIPFFJB98DA","62.66","0","0","無","","","","","","",221898.31,2665951.279,1
56,"大肚區","房地(土地+建物)","華山路61~90號",77.22,"都市：其他:住","","",1090628,"土地1建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造",791130,229.5,4,2,4,"有","無",12000000,52288,"",0,0,"其他增建","含租約","","RPPOMLLLPHPFFKB98DA","229.5","0","0","無","","","","",206331.315,2672792.373,2
57,"龍井區","房地(土地+建物)","臺灣大道五段3巷42弄1~30號",126.06,"","鄉村區","乙種建築用地",1090818,"土地1建物1車位0","全","二層","透天厝","住家用","見其他登記事項",640615,106.4,5,2,3,"有","無",11000000,103383,"",0,0,"頂樓加蓋","","RPWNMLQLQHPFFKB57DA","106.4","0","0","無","","","","","",208456.76,2675312.12,1
58,"龍井區","房地(土地+建物)","藝術街39巷1~30號",27.21,"都市：其他:住","","",1090806,"土地1建物1車位0","三層，電梯樓梯間","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",690509,72.7,3,2,1,"有","無",3250000,44704,"",0,0,"","RPOOMLLJRHPFFKB88DA","72.7","0","0","無","","","","","","",208739.519,2675821.089,1
59,"東區","房地(土地+建物)","進化路138巷1~30號",15,"都市：其他:第二種住宅區","","",1090831,"土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",701111,43.03,2,1,1,"有","無",1350000,31373,"",0,0,"","RPTNMLLMQHPFFAB58EA","43.03","0","0","無","","","","","","",218989.39,2671176.385,4
60,"北屯區","房地(土地+建物)","華美西街二段482巷1~30號",117,"都市：其他:第三之二種住宅區","","",1090710,"土地1建物1車位0","全","一層","透天厝","住家用","加強磚造",600701,55.95,2,2,1,"有","無",11200000,200179,"",0,0,"頂樓加蓋","其他增建","","RPSNMLRJRHPFFBB98EA","55.95","0","0","無","","","","",216369.684,2674499.74,7
61,"北區","房地(土地+建物)","漢口路四段31~60號",4.14,"都市：其他:第二種住宅區","","",1080818,"土地1建物1車位0","五層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",821211,37.19,1,1,1,"有","有",1800000,48400,"",0,0,"親友、員工、共有人或其他特殊關係間之交易","","RPROMLSJRHPFFBB09EA","23.55","1.65","0","有","36","","","","",217950.236,2673535.447,7
62,"北屯區","房地(土地+建物)","豐樂路9巷1~30號",91,"都市：其他:第二種住宅區","","",1090815,"土地3建物1車位0","全","一層","透天厝","住家用","加強磚造",620310,62.73,2,2,1,"有","無",6400000,102025,"",0,0,"親友、員工、共有人或其他特殊關係間之交易","","RPPRMLSJRHPFFBB56EA","62.73","0","0","無","","","","","",218000.644,2676541.96,3
63,"北區","房地(土地+建物)","青島一街1~30號",23.37,"都市：其他:第二種住宅區","","",1090702,"土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",750814,88.69,3,2,1,"有","無",4300000,48483,"",0,0,"","RPSRMLSJRHPFFBB86EA","72.75","7.52","0","無","37","","","","","",216973.658,2674236.933,9
64,"北屯區","房地(土地+建物)+車位","崇德五路146巷1~30號",23.13,"都市：其他:第二種住宅區","","",1090821,"土地1建物1車位1","四層","十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",801207,364.72,5,3,2,"有","有",9300000,25499,"坡道平面",11.14,0,"","RPWRMLSJRHPFFBB27EA","125.05","204.99","0","有","","","","","","",218239.723,2674961.376,4
65,"西屯區","房地(土地+建物)","文心路二段541~570號",11.86,"都市：其他:第三種住宅區。","","",1090622,"土地1建物1車位0","十四層","二十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",941110,175.74,3,2,2,"有","有",14000000,79663,"",0,0,"陽台外推","","RPPQMLSJRHPFFCB56EA","91.81","27.28","0","有","","","","","",214327.545,2673045.154,7
66,"南屯區","房地(土地+建物)+車位","大業路541~570號",18.44,"都市：其他:第二種住宅區","","",1090817,"土地1建物1車位1","九層","十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",840128,186.61,4,1,2,"有","有",11800000,63233,"坡道平面",0,0,"","RPQRMLSJRHPFFCB76EA","98.35","1.85","12.32","有","","","","","","",212754.863,2672066.589,3
67,"南屯區","房地(土地+建物)","黎明路二段61~90號",11.44,"都市：其他:第二種住宅區","","",1090611,"土地1建物1車位0","十四層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",941018,83.89,2,2,1,"有","有",6770000,80701,"",0,0,"","RPOPMLTJRHPFFCB09EA","58.08","4.65","0","有","","","","","","",212861.882,2672732.018,2
68,"神岡區","房地(土地+建物)","大洲路451~480號",18.51,"都市：其他:住宅區","","",1090728,"土地1建物1車位0","三層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",810103,108.77,3,2,2,"有","有",3600000,33097,"",0,0,"陽台外推","","RPQNMLLJRHPFFDB38EA","76.47","0","8.19","有","38","","","","",219139.065,2682593.427,2
69,"大里區","房地(土地+建物)","光正路134巷1~30號",86.28,"","鄉村區","乙種建築用地",1090811,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造",700410,99.86,0,0,1,"有","無",4800000,48067,"",0,0,"陽台外推","頂樓加蓋","其他增建","","RPRRMLSJRHPFFIB47EA","99.86","0","0","無","","","",221246.45,2664990.25,2
70,"潭子區","房地(土地+建物)+車位","復興路一段1~30號",22.69,"都市：其他:住宅區","","",1090807,"土地1建物1車位1","七層","八層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",840312,139.75,4,2,2,"有","有",6400000,45796,"坡道機械",0,0,"含仲介費","","RPSNMLKKRHPFFHB98EA","92.14","10.92","0","有","42","","","","",220198.179,2677740.109,3
71,"西屯區","房地(土地+建物)","惠中路100巷1弄1~30號",67,"都市：其他:第三之二種住宅區","","",1090727,"土地1建物1車位0","全","二層","透天厝","住家用","見其他登記事項",600908,85,3,2,2,"有","無",8600000,101176,"",0,0,"其他增建","","RPXOMLTJRHPFFCB27EA","85","0","0","無","","","","","",214073.223,2673536.41,6
72,"南屯區","房地(土地+建物)+車位","向心路91~120號",30.22,"都市：其他:第二種住宅區","","",1090805,"土地2建物1車位1","四層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",980929,225.75,3,2,2,"有","有",18800000,87436,"坡道平面",24.46,1200000,"","RPRQMLSJRHPFFCB76EA","119.63","20.04","0","有","","","","","","",214271.878,2670936.085,3
