"id","鄉鎮市區","交易標的","土地區段位置建物區段門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位移轉總面積.平方公尺.","車位總價元","備註","編號","主建物面積","附屬建物面積","陽台面積","電梯","移轉編號","X","X.1","X.2","X.3","X.4","Response_X","Response_Y","Count"
2039,"北區","房地(土地+建物)+車位","進化北路361~390號",15.27,"都市：其他:第一種商業區","","",1090920,"土地1建物1車位1","七層","二十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",841215,226.01,3,2,2,"有","有",8880000,39290,"坡道平面",0,0,"","RPPSNLRLIIPFFBB58DA","118.71","18.55","0","有","","","","","","",216987.619,2673142.666,6
2040,"北屯區","房地(土地+建物)","北屯路439之17巷2弄1~30號",5.62,"都市：其他:第三種住宅區。","","",1090929,"土地1建物1車位0","九層","十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",850812,60.17,1,1,1,"有","有",2860000,47532,"",0,0,"陽台外推","","RPVQMLPJIIPFFBB48DA","35.48","11.4","0","有","","","","","",219564.465,2674920.446,4
2041,"北區","房地(土地+建物)","進化北路241~270號",4.34,"都市：其他:第三種住宅區。","","",1090918,"土地1建物1車位0","七層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",821014,45.89,1,1,1,"有","有",1900000,41403,"",0,0,"","RPVRMLQJIIPFFBB68DA","16.96","9.8","0","有","1931","","","","","",216987.619,2673142.666,6
2042,"沙鹿區","房地(土地+建物)","臺灣大道七段1080巷1~30號",14.28,"都市：其他:第四種住宅區","","",1091007,"土地1建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",710215,82.55,3,2,1,"有","無",3980000,48213,"",0,0,"","RPRPMLRLIIPFFFB88EA","82.55","0","0","無","","","","","","",205174.476,2681931.37,3
2043,"大肚區","房地(土地+建物)","沙田路一段428巷8弄1~30號",89.8,"都市：其他:第一種住宅區","","",1090929,"土地2建物1車位0","全","二層","透天厝","住家用","見其他登記事項",621225,148.74,2,2,2,"有","無",4650000,31263,"",0,0,"頂樓加蓋","其他增建","","RPSOMLNLIIPFFKB88DA","148.74","0","0","無","354","","","",205830.285,2668947.663,1
2044,"北區","房地(土地+建物)","博館一街46巷1~30號",21.45,"都市：其他:第二種住宅區","","",1090928,"土地1建物1車位0","一層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",690515,56.36,3,2,1,"有","無",5200000,92264,"",0,0,"親友、員工、共有人或其他特殊關係間之交易","未登記建物","","RPTOMLKMIIPFFBB97EA","56.36","0","0","無","","","","",216278.401,2672093.48,4
2045,"太平區","房地(土地+建物)","長安六街31~60號",313.54,"","鄉村區","乙種建築用地",1090928,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造",680925,146.58,5,4,4,"有","無",27880000,190203,"",0,0,"","RPPNMLKMRHPFFJB98DA","146.58","0","0","無","","","","","","",222472.42,2672358.72,2
2046,"龍井區","房地(土地+建物)","龍社八街1~30號",38.06,"都市：其他:蝚砌?蝔桐?摰?","","",1090906,"土地2建物1車位0","七層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",980303,95.14,1,1,1,"有","有",4450000,46773,"",0,0,"","RPRNMLSKRHPFFKB27DA","57.09","8.74","0","有","","","","","","",205764.214,2676889.208,0
2047,"太平區","房地(土地+建物)","光興路890南巷5弄1~30號",64.54,"","鄉村區","乙種建築用地",1090926,"土地1建物1車位0","全","三層","透天厝","住家用","加強磚造",700827,83.2,4,2,2,"有","無",4720000,56731,"",0,0,"頂樓加蓋","其他增建","","RPPOMLKMRHPFFJB09DA","83.2","0","0","無","1956","","","",222761.88,2667013.669,2
2048,"太平區","房地(土地+建物)","光興路1406巷1~30號",110.51,"","鄉村區","乙種建築用地",1091004,"土地1建物1車位0","全","一層","透天厝","住家用","磚造",640825,52.54,3,2,1,"有","無",5300000,100876,"",0,0,"","RPVNMLPJIIPFFJB98DA","52.54","0","0","無","","","","","","",222942.399,2668081.669,3
2049,"太平區","房地(土地+建物)","中山路一段376巷1~30號",32.33,"","鄉村區","乙種建築用地",1091002,"土地1建物1車位0","三層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",820722,89.72,3,2,2,"有","無",4200000,46812,"",0,0,"","RPTOMLPJIIPFFJB88DA","71.77","10.41","0","無","434","","","","","",223175.14,2671107.399,2
2050,"北區","房地(土地+建物)","中清路一段601~630號",3.58,"都市：其他:第二種住宅區","","",1091023,"土地1建物1車位0","十一層","二十層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",880616,47.66,1,0,1,"有","有",2200000,46160,"",0,0,"","RPTPMLKMIIPFFBB08EA","27.04","5.07","0","有","","","","","","",216638.239,2674260.594,8
2051,"北屯區","房地(土地+建物)+車位","崇德二路二段91~120號",22.89,"都市：其他:第二之一種商業區","","",1090923,"土地1建物1車位2","十四層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1031006,215.94,3,2,2,"有","有",15800000,87277,"坡道平面",69.28,3e+06,"","RPQQMLKMIIPFFBB87EA","86.42","13.31","0","有","1963","","","","","",217688.002,2674774.932,5
