"id","學校名稱","地址","Response_X","Response_Y"
75,"市立華龍國小","[437]臺中市大甲區日南里工二路1號",214531.228,2699895.977
76,"市立西岐國小","[437]臺中市大甲區西岐里順帆路96號",212323.56,2701621.975
77,"市立東陽國小","[437]臺中市大甲區甲東路520號",212364.515,2692873.926
78,"市立沙鹿國小","[433]臺中市沙鹿區美仁里中正街3號",205476.662,2681199.436
79,"市立文光國小","[433]臺中市沙鹿區斗潭路文光巷12號",204991.614,2680138.035
80,"市立竹林國小","[433]臺中市沙鹿區臺灣大道7段821號",206040.38,2681472.217
81,"市立北勢國小","[433]臺中市沙鹿區六路里南陽路376號",206518.196,2679052.373
82,"市立公明國小","[433]臺中市沙鹿區公明里忠貞路213號",210263.01,2682056.31
83,"市立公舘國小","[433]臺中市沙鹿區西勢里中航路2段1號",208939.397,2683931.813
84,"市立鹿峰國小","[433]臺中市沙鹿區鹿峰里星河路209號",206347.486,2683426.558
85,"市立大安國小","[439]臺中市大安區中庄里中山南路296號",208213.579,2693303.274
86,"市立三光國小","[439]臺中市大安區龜殼里3鄰中松路297號",209463.17,2694727.27
87,"市立海墘國小","[439]臺中市大安區海墘里大安港路1100號",208308.945,2697082.251
88,"市立大安區永安國小","[439]臺中市大安區永安里東西四路二段252號",209992.744,2697447.1
89,"市立龍山國小","[434]臺中市龍井區中山一路一段6號",204380.42,2678812.97
90,"市立龍井國小","[434]臺中市龍井區龍西里龍門路51號",202213.25,2675518.109
91,"市立龍津國小","[434]臺中市龍井區龍津里中央路一段165巷50號",201443.209,2677407.009
92,"市立龍海國小","[434]臺中市龍井區忠和里中央路3段206號",201927.549,2679104.009
93,"市立龍泉國小","[434]臺中市龍井區龍泉里龍新路162號",204048.63,2676816.87
94,"市立龍峰國小","[434]臺中市龍井區新庄里中沙路新庄仔巷2號",206973.25,2674962.16
95,"市立烏日國小","[414]臺中市烏日區中山路二段196號",211756.135,2666882.225
96,"市立僑仁國小","[414]臺中市烏日區中山路一段341號",213453.823,2667018.889
97,"市立喀哩國小","[414]臺中市烏日區螺潭里溪南路二段370號",213677.494,2661973.259
98,"市立東園國小","[414]臺中市烏日區溪南路一段238巷198號",213347.481,2664411.314
99,"市立溪尾國小","[414]臺中市烏日區溪尾里溪岸路26號",213351.7,2659623.319
100,"市立旭光國小","[414]臺中市烏日區健行路501號",208759.703,2667321.626
101,"市立五光國小","[414]臺中市烏日區光明里光明路40號",214111.239,2665513.501
102,"市立大肚國小","[432]臺中市大肚區頂街里華山路77號",203890.989,2672325.407
103,"市立瑞峰國小","[432]臺中市大肚區太平路1號",206605.079,2673772.193
104,"市立永順國小","[432]臺中市大肚區永順里文昌路2段586號",202554.581,2672699.808
105,"市立追分國小","[432]臺中市大肚區沙田路一段364號",206128.391,2668680.814
106,"市立大忠國小","[432]臺中市大肚區沙田路一段854巷24號",204920.108,2669972.893
107,"市立大里國小","[412]臺中市大里區新興路50號",217207.019,2666143.23
108,"市立內新國小","[412]臺中市大里區東昇里日新路8號",219067.489,2667391.419
109,"市立崇光國小","[412]臺中市大里區大明路181號",217943.429,2667779.87
110,"市立塗城國小","[412]臺中市大里區仁德里文化街120號",219543.799,2665361.569
111,"市立瑞城國小","[412]臺中市大里區瑞城里美村街196號",219751.98,2664608.06
112,"市立健民國小","[412]臺中市大里區健民里校前路26號",222480.679,2664972.62
113,"市立草湖國小","[412]臺中市大里區西湖里西湖路32號",218527.401,2663696.277
114,"市立霧峰國小","[413]臺中市霧峰區中正路736號",219428.851,2661431.935
115,"市立僑榮國小","[413]臺中市霧峰區甲寅里民生路156號",219814.815,2662841.591
116,"市立四德國小","[413]臺中市霧峰區四德路504號",216195.41,2661826.983
117,"市立五福國小","[413]臺中市霧峰區五福里新埔路239號",216200.741,2663213.68
118,"市立萬豐國小","[413]臺中市霧峰區萬豐里中正路224號",219225.315,2658078.831
119,"市立峰谷國小","[413]臺中市霧峰區峰谷里峰谷路496號",222048.285,2658881.639
120,"市立桐林國小","[413]臺中市霧峰區民生路675號",223122.788,2662345.578
121,"市立復興國小","[413]臺中市霧峰區坑口里信義路50號",219310.331,2659736.682
122,"市立霧峰區光正國小","[413]臺中市霧峰區豐正路566號",216392.617,2659001.856
123,"市立宜欣國小","[411]臺中市太平區新平路二段100號",221061.45,2670467.23
124,"市立新光國小","[411]臺中市太平區新興里新興路200號",220162.889,2672750.634
125,"市立坪林國小","[411]臺中市太平區坪林里坪林路45號",223280.87,2671104.93
126,"市立光隆國小","[411]臺中市太平區光隆里光興路487巷5號",221985.239,2667378.25
127,"市立黃竹國小","[411]臺中市太平區黃竹里竹村路41號",224848.14,2664291.22
128,"市立頭汴國小","[411]臺中市太平區頭汴里北田路20號",224821.23,2668653.98
129,"市立東汴國小","[411]臺中市太平區東汴里山田路100號",229242.09,2668042.939
130,"市立和平區和平國小","[424]臺中市和平區南勢里東關路三段54號",239387.366,2673963.595
131,"市立福民國小","[426]臺中市新社區福興里福民16-7號",237948.249,2673123.444
132,"市立白冷國小","[424]臺中市和平區天輪里東關路二路天輪巷42號",242919.227,2675346.768
133,"市立博屋瑪國小","[424]臺中市和平區達觀里育英巷6號",242030.722,2692221.298
134,"市立中坑國小","[424]臺中市和平區中坑里中坑巷41號",239382.465,2680059.902
135,"市立平等國小","[424]臺中市和平區中興路三段環山3巷35號",279794.994,2690192.063
136,"市立博愛國小","[424]臺中市和平區博愛里東關路一段松鶴三巷10號",247905.231,2674631.546
137,"市立自由國小","[424]臺中市和平區自由里東崎路二段49號",240757.543,2687297.112
138,"市立梨山國(中)小","[424]臺中市和平區梨山里福壽路10號",276383.564,2683367.473
139,"市立益民國小","[412]臺中市大里區益民路二段48號",218214.09,2666912.799
140,"市立槺榔國小","[436]臺中市清水區中央路23-12號",203816.323,2684326.052
141,"市立建平國小","[411]臺中市太平區精美路201號",222002.01,2668797.58
142,"市立潭陽國小","[427]臺中市潭子區潭陽路19號",220662.989,2678660.578
143,"市立太平區中華國小","[411]臺中市太平區大源路1-20號",222149.147,2671367.379
144,"市立九德國小","[414]臺中市烏日區長春街300號",213217.859,2667247.762
145,"市立中港國小","[435]臺中市梧棲區大村里文明街100號",204836.806,2681742.728
146,"市立東平國小","[411]臺中市太平區中興東路213號",221930.82,2669739.22
147,"市立文雅國小","[428]臺中市大雅區文雅里中山北路235號",214046.399,2679467.024
148,"市立新盛國小","[423]臺中市東勢區新盛里新盛街342號",232870.639,2681987.784
149,"市立大元國小","[412]臺中市大里區現岱路60號",218465.22,2666182.04
150,"市立吉峰國小","[413]臺中市霧峰區吉峰里民生路349號",221444.962,2663883.941
151,"市立新平國小","[411]臺中市太平區樹孝路336巷9號",221558.53,2672187.24
152,"市立葫蘆墩國小","[420]臺中市豐原區葫蘆墩一街250號",220998.826,2683967.257
153,"市立永隆國小","[412]臺中市大里區永隆五街2號",217227.85,2667373.71
154,"市立美群國小","[412]臺中市大里區美群路99號",220465.2,2664360.14
155,"市立吳厝國小","[436]臺中市清水區吳厝里吳厝路35號",209670.608,2684673.492
156,"市立山陽國小","[432]臺中市大肚區榮華街630號",203766.795,2673193.166
157,"市立立新國小","[412]臺中市大里區立仁里立新街338號",219440.959,2666702.85
158,"市立大德國小","[435]臺中市梧棲區大村里文昌路343號",203506.696,2682070.748
159,"市立車籠埔國小","[411]臺中市太平區光明路10-2 號",222693.079,2667174.379
160,"市立福陽國小","[420]臺中市豐原區南陽路綠山巷83號",223195.709,2681880.21
161,"市立頭家國小","[427]臺中市潭子區得福街185號",219160.698,2676789.913
162,"市立瑞井國小","[432]臺中市大肚區瑞井里華山路680號",206011.687,2672676.355
163,"市立東新國小","[423]臺中市東勢區東蘭路1之1號",232476.603,2683856.734
164,"市立光復國(中)小","[413]臺中市霧峰區柳豐路535號",218390.715,2659914.509
165,"市立長億國小","[411]臺中市太平區太平三街295號",221069.878,2667605.842
166,"市立六寶國小","[428]臺中市大雅區光復路15之2號",212981.594,2681438.557
167,"國立臺中教大附小","[404]臺中市北區民權路220號",216853.478,2671010.955
168,"私立育仁國小","[404]臺中市北區錦祥里雙十路二段50號",218567.568,2672439.56
169,"私立慎齋小學","[406]臺中市北屯區山西路二段270號",217196.568,2674536.154
170,"私立明道普霖斯頓小學","[406]臺中市北屯區河北路三段16號",217890.143,2674663.021
171,"私立麗喆國(中)小","[407]臺中市西屯區國安二路242巷199號",210827.829,2676635.748
172,"市立中區光復國小","[400]臺中市中區三民路二段148號",217653.924,2670999.43
173,"市立臺中國小","[401]臺中市東區臺中路153號",217955.09,2669624.322
174,"市立大智國小","[401]臺中市東區大智路359號",218571.215,2669301.591
175,"市立東區成功國小","[401]臺中市東區旱溪西路一段300號",219437.655,2670248.305
176,"市立進德國小","[401]臺中市東區進化路135號",218921.147,2671139.524
177,"市立力行國小","[401]臺中市東區進化路223號",218896.502,2671746.282
178,"市立樂業國小","[401]臺中市東區樂業路60號",218940.073,2670349.74
179,"市立忠孝國小","[403]臺中市西區三民路一段171號",216833.01,2670323.396
180,"市立忠信國小","[403]臺中市西區林森路155號",216316.257,2670488.044
181,"市立大同國小","[403]臺中市西區自由路一段138號",217299.027,2670082.038
182,"市立忠明國小","[403]臺中市西區臺灣大道二段556號",215361.568,2672541.393
183,"市立西區中正國小","[403]臺中市西區英才路423號",216069.236,2671884.674
184,"市立南區和平國小","[402]臺中市南區復興路二段57號",215385.625,2668415.552
185,"市立國光國小","[402]臺中市南區國光路261號",217459.764,2668951.057
186,"市立信義國小","[402]臺中市南區五權南路325號",216441.62,2668538.339
187,"市立北區太平國小","[404]臺中市北區太平路74號",217687.147,2671588.052
188,"市立北區中華國小","[404]臺中市北區漢口路三段2號",216088.152,2673555.427
189,"市立篤行國小","[404]臺中市北區篤行路321號",216771.519,2672250.551
190,"市立健行國小","[404]臺中市北區健行路666號",216747.489,2672712.132
191,"市立省三國小","[404]臺中市北區崇德路一段107號",217971.777,2672753.524
192,"市立西屯國小","[407]臺中市西屯區西屯路二段300號",213493.674,2674953.835
193,"市立西屯區泰安國小","[407]臺中市西屯區環中路二段368號",214319.636,2676957.058
194,"市立大鵬國小","[407]臺中市西屯區中平路268號",216050.731,2674667.273
195,"市立西屯區永安國小","[407]臺中市西屯區西屯路三段133號",211972.943,2675554.342
196,"市立協和國小","[407]臺中市西屯區協和里安和路99號",211344.065,2673942.844
197,"市立大仁國小","[407]臺中市西屯區重慶路200號",215267.714,2673633.595
198,"市立南屯國小","[408]臺中市南屯區黎明路一段968號",213146.698,2670218.163
199,"市立鎮平國小","[408]臺中市南屯區黎明路一段425號",212284.573,2668537.021
200,"市立文山國小","[408]臺中市南屯區忠勇路97號",210922.798,2671688.821
201,"市立春安國小","[408]臺中市南屯區春安路109號",210201.551,2670002.595
202,"市立黎明國小","[408]臺中市南屯區黎明路二段555號",212679.882,2672488.909
203,"市立北屯國小","[406]臺中市北屯區進化北路2號",218647.475,2673139.447
204,"市立僑孝國小","[406]臺中市北屯區北屯路435號",219473.769,2674732.372
205,"市立四張犁國小","[406]臺中市北屯區后庄路910號(四張犁)",217296.397,2676394.322
206,"市立松竹國小","[406]臺中市北屯區昌平路二段12號",218495.573,2675091.214
207,"市立軍功國小","[406]臺中市北屯區和平里軍福十三路300號",221478.908,2674238.615
208,"市立北屯區大坑國小","[406]臺中市北屯區東山路二段112號",224418.378,2676749.626
209,"市立逢甲國小","[406]臺中市北屯區北坑巷60號",225145.282,2673465.958
210,"市立建功國小","[406]臺中市北屯區軍和街43號",221088.685,2674538.762
211,"市立北屯區新興國小","[406]臺中市北屯區新興路20號",215713.951,2676627.85
212,"市立仁愛國小","[406]臺中市北屯區四平路71號",216627.125,2675018.705
213,"市立立人國小","[404]臺中市北區北平路一段60號",216343.141,2674082.328
214,"市立北屯區文昌國小","[406]臺中市北屯區昌平路一段91號",218649.562,2673683.526
215,"市立大勇國小","[403]臺中市西區忠明南路515號",215220.315,2669959.526
216,"市立重慶國小","[407]臺中市西屯區重慶路358號",215837.352,2673940.413
217,"市立南屯區東興國小","[408]臺中市南屯區大隆路71號",214671.416,2672327.33
218,"市立文心國小","[406]臺中市北屯區文心路四段575號",217757.535,2674237.285
219,"市立四維國小","[406]臺中市北屯區文心路四段956號",219005.171,2673933.625
220,"市立何厝國小","[407]臺中市西屯區重慶路1號",214833.245,2673179.828
221,"市立國安國小","[407]臺中市西屯區國祥街1號",210265.698,2676531.578
222,"市立上石國小","[407]臺中市西屯區西屯路二段上石南6巷25號",214081.087,2674169.054
223,"市立大新國小","[408]臺中市南屯區文心路一段280號",214123.467,2671222.143
224,"市立陳平國小","[406]臺中市北屯區陳平路58號",216216.78,2675529.324
225,"市立賴厝國小","[404]臺中市北區漢口路四段168號",217352.977,2673504.177
226,"市立永春國小","[408]臺中市南屯區永春東路288號",214250.647,2670021.287
227,"市立惠文國小","[408]臺中市南屯區公益路二段300號",213245.496,2671925.231
228,"市立樹義國小","[402]臺中市南區福田路11號",215173.739,2667466.055
229,"市立東光國小","[406]臺中市北屯區東光路926號",219693.747,2674082.308
230,"市立上安國小","[407]臺中市西屯區上安路156號",213334.465,2674175.688
231,"市立仁美國小","[406]臺中市北屯區崇德路三段568號",218184.391,2676347.458
232,"市立長安國小","[407]臺中市西屯區櫻花路18號",214756.087,2673827.646
233,"市立惠來國小","[407]臺中市西屯區文中路168號",214329.976,2673328.58
234,"市立大墩國小","[408]臺中市南屯區向上路二段201號",213432.614,2671313.736
235,"市立東海國小","[407]臺中市西屯區國際街75號",208747.394,2675576.035
236,"市立廍子國小","[406]臺中市北屯區景賢路290號",221712.019,2673586.961
