鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積.平方公尺.,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,X,X.1,X.2,X.3,X.4,Response_X,Response_Y
中區,房地(土地+建物),臺中市中區成功路1~30號,1.64,都市：其他:第二種商業區,,,1090925,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,790416,31.52,1,1,1,有,有,1700000,53934,,0,0,,RPOQMLSJIIPFFAB97DA,20.78,2.53,0,有,,,,,,,217824.913,2670625.561
北區,房地(土地+建物),臺中市北區太平北街1~30號,93.5,都市：其他:第二種住宅區,,,1090705,土地1建物1車位0,全,三層,透天厝,商業用,鋼筋混凝土加強磚造,630808,118.56,3,2,2,有,無,15827687,133499,,0,0,,RPPOMLLKIIPFFBB37DA,118.57,0,0,無,1169,,,,,,217477.347,2671718.862
北區,房地(土地+建物),臺中市北區太平北街1~30號,84.36,都市：其他:第二種住宅區,,,1090705,土地1建物1車位0,全,三層,透天厝,商業用,鋼筋混凝土加強磚造,630808,106.97,3,2,2,有,無,15827688,147964,,0,0,,RPTOMLLKIIPFFBB77DA,106.97,0,0,無,1169,,,,,,217477.347,2671718.862
北區,房地(土地+建物),臺中市北區進化北路361~390號,29.16,都市：其他:第一種商業區,,,1090824,土地1建物2車位0,四層,二十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,841215,205.52,0,0,0,無,有,5800000,28221,,0,0,,RPVPMLSJIIPFFBB78EA,81.73,0,0,有,1202,,,,,,216987.619,2673142.666
中區,房地(土地+建物),臺中市中區中山路17之1~30號,10.04,都市：其他:綠地用地,,,1090926,土地2建物1車位0,四層,八層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,661228,51.9,2,0,2,有,無,1884000,36301,,0,0,,RPSPMLQLRHPFFAB09DA,51.9,0,0,有,,,,,,,217842.426,2670273.316
西區,房地(土地+建物),臺中市西區華美西街一段61~90號,12.03,都市：其他:第二種住宅區,,,1090918,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,801114,107.47,0,0,0,無,有,3900000,36289,,0,0,,RPOOMLNKIIPFFAB47EA,59.4,22.63,0,有,,,,,,,215723.633,2673119.907
南屯區,房地(土地+建物),臺中市南屯區向上路三段61~90號,67.69,都市：其他:市場用地,,,1090919,土地1建物1車位0,一層，二層，騎樓,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,840112,845.86,3,2,2,有,有,40000000,47289,,0,0,,RPTNMLOKIIPFFCB08DA,571.04,0,22.75,有,,,,,,,211812.456,2671166.648
西屯區,房地(土地+建物),臺中市西屯區太原路一段121~150號,2.69,都市：其他:第一種商業區,,,1091004,土地1建物1車位0,四層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,820531,35.7,1,1,1,有,有,2200000,61625,,0,0,,RPQNMLNKIIPFFCB67DA,24.38,0,0,有,1393,,,,,,215846.981,2673285.785
西屯區,房地(土地+建物),臺中市西屯區太原路一段121~150號,2.43,都市：其他:第一種商業區,,,1091004,土地1建物1車位0,四層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,820531,33.55,1,1,1,有,有,2100000,62593,,0,0,,RPPNMLNKIIPFFCB57DA,18.33,0,3.9,有,1419,,,,,,215846.981,2673285.785
北區,房地(土地+建物),臺中市北區北屯路1~30號,2.62,都市：其他:第一種商業區,,,1090928,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,711211,29.66,1,0,1,有,有,1200000,40459,,0,0,,RPTPMLPKIIPFFBB28DA,23.09,0,0,有,1429,,,,,,218672.543,2672961.219
