"id","鄉鎮市區","交易標的","土地區段位置建物區段門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位移轉總面積.平方公尺.","車位總價元","備註","編號","主建物面積","附屬建物面積","陽台面積","電梯","移轉編號","X","X.1","X.2","X.3","X.4","Response_X","Response_Y","dist","dist.1","dist.2","dist.3","dist.4","dist.5","dist.6","dist.7","dist.8","dist.9"
1301,"大肚區","房地(土地+建物)","臺中市大肚區自由路211~240號",18.24,"都市：其他:住宅區","","",1091020,"土地1建物1車位0","十層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",840401,124.82,3,1,2,"有","有",4000000,32046,NA,0,0,"","RPPNMLNJJIPFFKB48EA","86.84","5.94","0","有","","","","","","",203692.475,2672997.529,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
1302,"西屯區","房地(土地+建物)","臺中市西屯區中清西二街92巷1~30號",27.17,"都市：其他:第二種住宅區","","",1090911,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",741108,97.65,4,2,4,"有","無",5700000,58372,NA,0,0,"含仲介費","陽台外推","含租約","","RPPNMLLJJIPFFCB37DA","77.8","9.92","0","無","2143","","",216078.931,2674687.581,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
1303,"南屯區","房地(土地+建物)","臺中市南屯區河南路四段661~690號",14.37,"都市：其他:第二種住宅區","","",1091017,"土地1建物1車位0","十層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",870915,125.75,3,2,2,"有","有",10460000,83181,NA,0,0,"","RPUNMLNLIIPFFCB18DA","80.89","12.46","0","有","","","","","","",213375.481,2670909.242,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
1304,"南屯區","房地(土地+建物)","臺中市南屯區大同街31~60號",16.03,"都市：其他:第二種住宅區","","",1091015,"土地1建物1車位0","一層","七層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",821230,94.75,3,2,2,"有","有",6150000,64908,NA,0,0,"","RPVQMLMLIIPFFCB48DA","56.68","13.51","0","無","","","","","","",214817.535,2671073.583,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
1305,"豐原區","房地(土地+建物)","臺中市豐原區三村路98巷1~30號",11.52,"都市：其他:第二種住宅區","","",1091025,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",830106,31.21,1,0,1,"有","無",1100000,35245,NA,0,0,"","RPQNMLRLIIPFFDB28DA","25.07","5.28","0","無","","","","","","",220592.222,2682030.605,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
1306,"豐原區","房地(土地+建物)","臺中市豐原區圓環東路114巷31~60號",15.36,"都市：其他:第二種住宅區","","",1091008,"土地1建物1車位0","二層","六層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",830126,75.21,2,2,1,"有","有",4100000,54514,NA,0,0,"","RPXOMLNJJIPFFDB58DA","48.74","9.78","0","有","","","","","","",221252.225,2681875.088,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
1307,"神岡區","房地(土地+建物)","臺中市神岡區大社街110巷1~30號",18.05,"都市：其他:住宅區","","",1090919,"土地2建物1車位0","三層","八層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",850624,113.92,3,2,2,"有","有",4750000,41696,NA,0,0,"其他增建","","RPTNMLMJJIPFFDB97DA","71.57","15.29","0","有","2145","","","","",219736.92,2683027,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
1308,"大甲區","房地(土地+建物)","臺中市大甲區經國路901~930號",15.23,"都市：其他:住宅區","","",1091008,"土地1建物1車位0","三層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",841212,89.49,2,1,1,"有","有",2500000,27936,NA,0,0,"","RPPNMLPJJIPFFEB97DA","67.35","0.56","8.79","有","","","","","","",214340.451,2698888.808,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
1309,"豐原區","房地(土地+建物)","臺中市豐原區中正路695巷1~30號",9.77,"都市：其他:住宅區","","",1090924,"土地1建物1車位0","九層","十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",820208,97.34,3,2,2,"有","有",3900000,40066,NA,0,0,"","RPTNMLPLRHPFFDB56DA","68.17","8.42","0","有","","","","","","",219718.03,2682507.99,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
1310,"石岡區","房地(土地+建物)","臺中市石岡區和盛街和盛巷35弄31~60號",86.1,"","鄉村區","乙種建築用地",1091017,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造",660801,105.2,4,3,1,"有","無",4800000,45627,NA,0,0,"","RPQNMLLLIIPFFGB97DA","105.2","0","0","無","253","","","","","",231438.958,2683713.691,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
1311,"大雅區","房地(土地+建物)","臺中市大雅區民生路一段1~30號",126.94,"都市：其他:住宅區","","",1091021,"土地1建物1車位0","全","一層","透天厝","住家用","磚造",590101,66.1,2,2,1,"有","無",8350000,126324,NA,0,0,"","RPSNMLOJJIPFFHB48DA","66.1","0","0","無","","","","","","",214397.725,2680187.722,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
1312,"烏日區","房地(土地+建物)","臺中市烏日區中山路一段481~510號",3.7,"都市：其他:第三種住宅區。","","",1090930,"土地1建物1車位0","六層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",780320,22.33,1,0,1,"有","有",870000,38961,NA,0,0,"","RPSPMLMLIIPFFIB68DA","14.4","1.42","0","有","","","","","","",212598.348,2666770.06,1250,1250,1250,1250,500,1250,1250,1250,1250,1250
1313,"太平區","房地(土地+建物)","臺中市太平區大源路2之5巷1~30號",86.8,"","鄉村區","乙種建築用地",1090923,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造",691220,82.68,4,2,2,"有","無",9630000,116473,NA,0,0,"頂樓加蓋","其他增建","","RPPOMLOLRHPFFJB76DA","82.68","0","0","無","","","","",221994.79,2671166.27,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
1314,"北屯區","房地(土地+建物)","臺中市北屯區橫坑巷31~60號",429.61,"都市：其他:特二種住宅區","","",1091006,"土地3建物1車位0","全","三層","透天厝","住家用","鋼筋混凝土造",830711,237.77,4,2,4,"有","有",11800000,49628,NA,0,0,"","RPSPMLOJJIPFFBB08DA","215.92","21.85","0","無","","","","","","",228350.866,2674856.748,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
1315,"北區","房地(土地+建物)","臺中市北區健行路1~30號",7.06,"都市：其他:第二種住宅區","","",1090926,"土地1建物1車位0","七層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",820903,36.52,1,0,1,"有","有",1880000,51479,NA,0,0,"","RPPOMLOJJIPFFBB67DA","21.58","2.58","0","有","","","","","","",218195.003,2672695.12,1250,1250,1250,1250,1250,1250,1250,750,1250,1250
1316,"北屯區","房地(土地+建物)","臺中市北屯區文心路四段991~1020號",7.12,"都市：其他:第三種住宅區。","","",1091006,"土地1建物1車位0","四層","二十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",910807,93.07,3,1,1,"有","有",6130000,65864,NA,0,0,"","RPVOMLPJJIPFFBB38DA","59.78","9.11","0","有","2156","","","","","",219261.56,2674001.986,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
1317,"北區","房地(土地+建物)","臺中市北區五義街121~150號",18.6,"都市：其他:第二種住宅區","","",1091027,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",701130,61.64,4,0,4,"有","無",3650000,59215,NA,0,0,"","RPSTMLNJJIPFFBB38DA","61.64","0","0","無","","","","","","",217289.967,2672044.091,1250,1250,1250,1250,1250,1250,1250,500,1250,1250
1318,"北屯區","房地(土地+建物)","臺中市北屯區昌平路二段50之6巷2弄1~30號",20.79,"都市：其他:第二種住宅區","","",1091018,"土地1建物1車位0","二層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",810228,123.01,3,2,2,"有","有",6900000,56093,NA,0,0,"","RPSOMLNJJIPFFBB87DA","80.32","7.04","0","有","2159","","","","","",217911.143,2676319.771,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
1319,"北區","房地(土地+建物)","臺中市北區國強街121~150號",5.69,"都市：其他:第二種住宅區","","",1090926,"土地1建物1車位0","七層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",810617,41.23,1,1,1,"有","有",2050000,49721,NA,0,0,"","RPVOMLNJJIPFFBB18DA","22.82","6.18","0","有","","","","","","",219256.734,2672846.001,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
1320,"西區","房地(土地+建物)","臺中市西區五權八街121~150號",4.63,"都市：其他:第二種住宅區","","",1091024,"土地1建物1車位0","九層","九層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",860311,31.16,0,0,0,"無","有",2100000,67394,NA,0,0,"","RPRQMLMLIIPFFAB87DA","17.73","2.72","0","有","","","","","","",215474.744,2669966.248,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
1321,"西區","房地(土地+建物)","臺中市西區民生北路91~120號",41.12,"都市：其他:第二種住宅區","","",1090920,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",750626,141.02,3,2,2,"有","無",5820000,41271,NA,0,0,"","RPTNMLKLIIPFFAB57DA","119.5","14.36","0","無","","","","","","",216271.125,2671675.538,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
1322,"東區","房地(土地+建物)","臺中市東區自強街3巷1~30號",27.75,"都市：其他:第二種住宅區","","",1090922,"土地3建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",691009,58.33,4,4,2,"有","無",3550000,60861,NA,0,0,"頂樓加蓋","含租約","","RPXOMLQLIIPFFAB68DA","58.33","0","0","無","2162","","","",219141.821,2671694.021,1000,1250,1250,1250,1250,1250,1250,1250,1250,1250
1323,"西區","房地(土地+建物)","臺中市西區三民路一段50巷1~30號",5.49,"都市：其他:第一種商業區","","",1090921,"土地2建物1車位0","六層","十九層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",840113,72.06,2,1,1,"有","無",3600000,49958,NA,0,0,"","RPRNMLOJJIPFFAB67DA","41.52","3.47","0","無","2164","","","","","",216250.831,2669451.77,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
1324,"西區","房地(土地+建物)","臺中市西區精誠路304巷1~30號",152,"都市：其他:第二種住宅區","","",1090920,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造",750927,166.3,4,2,3,"有","無",26800000,161155,NA,0,0,"頂樓加蓋","","RPOOMLOJJIPFFAB47DA","150.6","15.7","0","無","","","","","",214853.806,2671479.473,1250,1250,1250,1250,1250,750,1250,1250,1250,1250
1325,"南區","房地(土地+建物)","臺中市南區五權南路680巷28弄1~30號",91,"都市：其他:第三種住宅區。","","",1091005,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造",690725,98.58,4,2,2,"有","無",11500000,116657,NA,0,0,"頂樓加蓋","其他增建","","RPUPMLOJJIPFFAB18DA","98.58","0","0","無","625","","","",216609.524,2667512.685,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
1326,"中區","房地(土地+建物)","臺中市中區民權路151~180號",1.93,"都市：其他:第一種商業區","","",1091018,"土地2建物1車位0","十三層","二十八層","住宅大樓(11層含以上有電梯)","住家用","見其他登記事項",860131,37.39,0,0,0,"無","有",1790000,47874,NA,0,0,"","RPWPMLOJJIPFFAB38DA","22.18","3.12","0","有","2167","","","","","",216881.589,2670935.835,1250,1000,1000,1250,1250,1250,1250,1250,500,500
1327,"中區","房地(土地+建物)","臺中市中區大誠街5之1~30號",5.92,"都市：其他:第二種商業區","","",1091009,"土地1建物1車位0","四層","四層","華廈(10層含以下有電梯)","住家用","見其他登記事項",590110,60.58,2,1,1,"有","無",4050000,66854,NA,0,0,"","RPSQMLOJJIPFFAB08DA","60.58","0","0","有","2170","","","","","",217259.053,2671064.514,1250,1000,1000,1250,1250,1250,1250,1250,750,250
