"鄉鎮市區","交易標的","土地區段位置建物區段門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位移轉總面積平方公尺","車位總價元","備註","編號"
"西區","房地(土地+建物)","臺中市西區五權西五街30巷1~30號",26.4,"住","","",1090112,"土地1建物1車位0","二層","二層","公寓(5樓含以下無電梯)","住家用","加強磚造",610602,43.84,2,1,1,"有","有",3400000,77555,"",0,0,"","RPRNMLMKKHPFFAB47CA"
"南區","房地(土地+建物)","臺中市南區復興路二段151巷1~30號",24.75,"住","","",1090110,"土地3建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",671218,74.22,3,2,2,"有","無",2900000,39073,"",0,0,"","RPTNMLNKKHPFFAB77CA"
"中區","房地(土地+建物)","臺中市中區公園路31~60號",3.71,"住","","",1081225,"土地2建物1車位0","十一層","十一層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",701231,29.8,1,1,1,"有","有",1800000,60403,"",0,0,"","RPQNMLQKKHPFFAB77CA"
"南區","房地(土地+建物)","臺中市南區公理街31~60號",6.09,"住","","",1090118,"土地2建物1車位0","五層","七層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",711019,31.09,1,1,1,"有","有",1670000,53715,"",0,0,"","RPQPMLRKKHPFFAB08CA"
"西區","房地(土地+建物)","臺中市西區民權路211~240號",8.66,"住","","",1081229,"土地1建物1車位0","四層","七層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",711111,49.58,1,1,1,"有","有",2e+06,40339,"",0,0,"含增建或未登記建物。;","RPTOMLTKKHPFFAB48CA"
"中區","房地(土地+建物)","臺中市中區成功路306巷1~30號",3.74,"商","","",1090201,"土地1建物1車位0","十二層","十六層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",821102,42.28,1,1,1,"有","有",1350000,31930,"",0,0,"","RPXNMLMJLHPFFAB08CA"
"西區","房地(土地+建物)","臺中市西區精忠街31~60號",21.05,"住","","",1081203,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",720721,80.26,3,2,2,"有","無",3300000,41116,"",0,0,"","RPWQMLTJLHPFFAB98CA"
"北屯區","房地(土地+建物)","臺中市北屯區松和街91~120號",20.38,"住","","",1090101,"土地1建物1車位0","一層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",810826,102.22,3,2,2,"有","有",5800000,56740,"",0,0,"","RPROMLLKKHPFFBB57CA"
"北屯區","房地(土地+建物)","臺中市北屯區東山路一段238巷25弄31~60號",26.91,"住","","",1081223,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",760127,88.67,3,2,2,"有","無",3200000,36089,"",0,0,"","RPOOMLMKKHPFFBB37CA"
"北區","房地(土地+建物)","臺中市北區太原路二段181~210號",31.65,"商","","",1081224,"土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",691210,115.66,4,2,2,"有","無",5100000,44095,"",0,0,"","RPUOMLMKKHPFFBB97CA"
