"鄉鎮市區","交易標的","土地區段位置建物區段門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位移轉總面積.平方公尺.","車位總價元","備註","編號","主建物面積","附屬建物面積","陽台面積","電梯"
"中區","房地(土地+建物)","臺中市中區綠川東街31~60號",5.35,"商","","",1090515,"土地3建物1車位0","六層","十二層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",670306,34.92,0,1,1,"有","有",1660000,47537,"",0,0,"","RPQNMLPJOHPFFAB97CA",34.92,0,0,""
"中區","房地(土地+建物)","臺中市中區民權路151~180號",1.93,"商","","",1090501,"土地2建物1車位0","二十八層","二十八層","住宅大樓(11層含以上有電梯)","住家用","見其他登記事項",860131,37.56,1,1,1,"有","有",1750000,46592,"",0,0,"","RPQPMLNJOHPFFAB97CA",21.44,2.94,0,""
"西區","房地(土地+建物)","臺中市西區大昌街228巷1~30號",76,"住","","",1090421,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造",760105,105.03,4,2,2,"有","無",1.5e+07,142816,"",0,0,"","RPVNMLMKOHPFFAB28CA",91.34,13.69,0,""
"中區","房地(土地+建物)","臺中市中區民權路151~180號",1.93,"住","","",1090516,"土地2建物1車位0","十二層","二十八層","套房(1房1廳1衛)","住家用","見其他登記事項",860131,37.45,0,0,0,"無","有",1750000,46729,"",0,0,"","RPUNMLNLOHPFFAB38CA",22.18,3.12,0,""
"北屯區","房地(土地+建物)","臺中市北屯區后庄三街191巷1~30號",66,"住","","",1090307,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造",660210,95.68,4,2,2,"有","無",12500000,130644,"",0,0,"親友、員工或其他特殊關係間之交易。;","RPUNMLSJOHPFFBB78CA",95.68,0,0,""
"北區","房地(土地+建物)","臺中市北區中華路二段112巷1~30號",5.74,"住","","",1090518,"土地1建物1車位0","二層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",730317,19.88,2,1,1,"有","無",6e+05,30181,"",0,0,"持分買賣","RPUNMLMJOHPFFBB18CA",17.66,2.22,0,""
"北屯區","房地(土地+建物)","臺中市北屯區華美西街二段391~420號",3.7,"住","","",1090518,"土地1建物1車位0","三層","七層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",840901,26.74,1,1,1,"有","無",1150000,43007,"",0,0,"","RPPOMLNJOHPFFBB87CA",14.98,4.92,0,""
"北區","房地(土地+建物)","臺中市北區漢口路四段61~90號",6.32,"住","","",1090501,"土地1建物2車位0","十四層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",850715,58.74,2,1,1,"有","有",3200000,54477,"",0,0,"","RPUPMLPKOHPFFBB78CA",31.52,6.44,0,""
"北屯區","房地(土地+建物)","臺中市北屯區松竹路二段34巷16弄1~30號",111,"住","","",1090319,"土地1建物1車位0","全","二層","透天厝","住家用","鋼筋混凝土造",761228,127.33,5,3,2,"有","無",9450000,74217,"",0,0,"含增建或未登記建物。;私契與公契權利人不一","RPXPMLRKOHPFFBB66CA",102,25.33,0,""
"西屯區","房地(土地+建物)","臺中市西屯區工業區一路91~120號",12.55,"住","","",1090424,"土地1建物1車位0","三層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",840113,119.59,3,2,2,"有","有",5500000,45990,"",0,0,"親友、員工或其他特殊關係間之交易。;","RPOOMLSJOHPFFCB38CA",85.45,13.03,0,""
"西屯區","房地(土地+建物)","臺中市西屯區福星路151~180號",9.07,"住","","",1090501,"土地1建物1車位0","六層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",960929,70.45,2,1,1,"有","有",5880000,83463,"",0,0,"","RPVQMLSJOHPFFCB66CA",42.1,9.15,0,""
"西屯區","房地(土地+建物)","臺中市西屯區至善路121巷1~30號",3.56,"住","","",1090520,"土地1建物1車位0","十二層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",821014,26.69,0,0,0,"無","有",1700000,63694,"",0,0,"親友、員工或其他特殊關係間之交易。;","RPRNMLLLOHPFFCB08CA",16.32,1.73,0,""
"大甲區","房地(土地+建物)","臺中市大甲區水源路219巷1~30號",31.34,"住","","",1090429,"土地4建物3車位0","一層，二層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",841116,105.47,1,2,2,"有","有",3e+06,28444,"",0,0,"含增建或未登記建物。;","RPQNMLLKOHPFFEB08CA",77.92,8.1,0,""
"神岡區","房地(土地+建物)","臺中市神岡區東洲路79巷39弄1~30號",108.63,"農","","",1090518,"土地3建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造",931227,176,4,2,3,"有","無",12613640,71668,"",0,0,"","RPRNMLNLOHPFFDB38CA",164.25,11.75,0,""
"豐原區","房地(土地+建物)","臺中市豐原區大仁街21巷1~30號",21.47,"住","","",1090512,"土地1建物1車位0","六層","九層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",881028,122.26,3,2,2,"有","有",4800000,39261,"",0,0,"","RPPNMLNJOHPFFDB97CA",82.26,7.94,0,""
"清水區","房地(土地+建物)","臺中市清水區南華路90巷31~60號",101,"住","","",1090425,"土地1建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造",970626,187.91,4,3,3,"有","無",9660000,51408,"",0,0,"","RPVOMLQKOHPFFFB66CA",180.79,7.12,0,""
"梧棲區","房地(土地+建物)","臺中市梧棲區大智路二段237巷1~30號",112.75,"住","","",1090406,"土地2建物1車位0","全","三層","透天厝","住家用","鋼筋混凝土造",811124,167.64,6,1,5,"有","無",8880000,52971,"",0,0,"","RPWNMLOJOHPFFFB98CA",167.64,0,0,""
"沙鹿區","房地(土地+建物)","臺中市沙鹿區臺灣大道七段432巷66弄1~30號",16.47,"住","","",1090512,"土地2建物2車位0","二層","五層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",960109,39.9,2,2,2,"有","有",2900000,72682,"",0,0,"","RPVNMLTKOHPFFFB86CA",27.58,3.92,0,""
"沙鹿區","房地(土地+建物)","臺中市沙鹿區福田北街61~90號",95.93,"住","","",1090504,"土地1建物1車位0","全","三層","透天厝","住家用","鋼筋混凝土造",820215,161.19,4,3,3,"有","無",9105000,56486,"",0,0,"含增建或未登記建物。;","RPUNMLOLOHPFFFB98CA",161.19,0,0,""
"潭子區","房地(土地+建物)","臺中市潭子區雅豐街91~120號",83.86,"住","","",1090429,"土地2建物1車位0","全","三層","透天厝","住家用","鋼筋混凝土造",780602,169.6,10,2,11,"有","無",10500000,61910,"",0,0,"","RPPNMLOJOHPFFHB48CA",169.6,0,0,""
"潭子區","房地(土地+建物)","臺中市潭子區勝利九街121~150號",9.57,"住","","",1090523,"土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",841215,35.51,1,0,1,"有","無",2e+06,56322,"",0,0,"","RPSPMLNJOHPFFHB88CA",25.71,3.01,0,""
"潭子區","房地(土地+建物)","臺中市潭子區福潭路313巷1~30號",21.1,"住","","",1090514,"土地1建物1車位0","五層","十層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",850110,109.55,3,2,2,"有","有",6120000,55865,"",0,0,"","RPWNMLKMOHPFFHB09CA",72.71,10.04,0,""
"潭子區","房地(土地+建物)","臺中市潭子區福潭路313巷1~30號",21.1,"住","","",1090514,"土地1建物1車位0","四層","十層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",850110,109.55,3,2,2,"有","有",6120000,55865,"",0,0,"","SPWNMLKMOHPFFHB56CA",72.71,10.04,0,""
"潭子區","房地(土地+建物)","臺中市潭子區福潭路313巷1~30號",27.03,"住","","",1090514,"土地1建物1車位0","一層","十層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",850110,130.29,3,2,2,"有","有",7280000,55875,"",0,0,"","TPWNMLKMOHPFFHB66CA",90.16,9.29,0,""
"潭子區","房地(土地+建物)","臺中市潭子區福潭路313巷1~30號",25.71,"住","","",1090514,"土地1建物1車位0","五層","十層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",850110,129.99,3,2,2,"有","有",7280000,56004,"",0,0,"","UPWNMLKMOHPFFHB76CA",85.57,14.48,0,""
"潭子區","房地(土地+建物)","臺中市潭子區福潭路313巷1~30號",25.71,"住","","",1090514,"土地1建物1車位0","四層","十層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",850110,129.99,3,2,2,"有","有",7280000,56004,"",0,0,"","VPWNMLKMOHPFFHB86CA",85.57,14.48,0,""
"潭子區","房地(土地+建物)","臺中市潭子區嘉豐路338巷121~150號",97.83,"","特定農業區","甲種建築用地",1090422,"土地1建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造",841002,151.33,5,2,3,"有","無",8e+06,52865,"",0,0,"含增建或未登記建物。;","RPOOMLKLOHPFFHB28CA",144.53,6.8,0,""
"烏日區","房地(土地+建物)","臺中市烏日區五光路189巷1~30號",107.6,"","鄉村區","乙種建築用地",1090508,"土地2建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造",1081119,196.59,4,2,2,"有","無",1.7e+07,86474,"",0,0,"","RPUNMLMKOHPFFIB98CA",184,12.59,0,""
"大里區","房地(土地+建物)","臺中市大里區甲堤二街1~30號",92.31,"","鄉村區","乙種建築用地",1090508,"土地1建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造",1020925,186.74,4,3,3,"有","無",1.4e+07,74971,"",0,0,"含增建或未登記建物。;","RPTUMLSLOHPFFIB67CA",173.43,13.31,0,""
"太平區","房地(土地+建物)","臺中市太平區中山路二段362巷1~30號",35.33,"","鄉村區","乙種建築用地",1090221,"土地1建物1車位0","二層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",830818,93.23,3,2,2,"有","無",3330000,35718,"",0,0,"","RPUNMLLKOHPFFJB98CA",76.99,8.61,0,""
"大里區","房地(土地+建物)","臺中市大里區新仁五街1~30號",112.5,"","鄉村區","乙種建築用地",1090506,"土地1建物1車位0","全","三層","透天厝","住家用","鋼筋混凝土造",801230,218.35,5,2,3,"有","無",3020000,13831,"",0,0,"親友、員工或其他特殊關係間之交易。;二親等間買賣.二人分別共有","RPVNMLOJOHPFFIB56CA",199.57,18.78,0,""
"北區","房地(土地+建物)","臺中市北區太平路91~120號",4.91,"住","","",1090521,"土地2建物1車位0","四層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",820831,36.39,0,0,0,"無","有",1500000,41220,"",0,0,"","RPPPMLOJOHPFFBB18DA",19.25,4.59,0,""
"沙鹿區","房地(土地+建物)","臺中市沙鹿區樂群新莊91~120號",49.38,"農","","",1090526,"土地1建物1車位0","一層，騎樓","三層","公寓(5樓含以下無電梯)","住家用","加強磚造",680223,90.24,3,1,1,"有","有",950000,10527,"",0,0,"急買急賣。;","RPOOMLOJOHPFFFB28CA",90.24,0,0,""
"沙鹿區","房地(土地+建物)","臺中市沙鹿區六路十四街1~30號",86.03,"住","","",1090501,"土地1建物1車位0","全","三層","透天厝","住家用","鋼筋混凝土造",820417,161.96,5,2,4,"有","無",8800000,54334,"",0,0,"含增建或未登記建物。;","RPROMLMKOHPFFFB48CA",138.06,23.9,0,""
"豐原區","房地(土地+建物)","臺中市豐原區中山路384巷1~30號",44,"住","","",1090408,"土地2建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造",801005,94.24,3,2,3,"有","無",9e+06,95501,"",0,0,"","RPSOMLOJOHPFFDB48CA",94.24,0,0,""
"西屯區","房地(土地+建物)","臺中市西屯區福上巷214弄31~60號",15.48,"住","","",1090430,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",780316,67.31,3,0,3,"有","無",4160000,61804,"",0,0,"","RPTNMLSKOHPFFCB88CA",48.06,6.2,0,""
"西屯區","房地(土地+建物)","臺中市西屯區黎明路三段46巷1~30號",99,"商","","",1090430,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造",750408,131.8,5,2,5,"有","無",20720000,157208,"",0,0,"含增建或未登記建物。","RPXQMLSJOHPFFCB86CA",120.2,11.6,0,""
"南屯區","房地(土地+建物)","臺中市南屯區黎明路二段121~150號",14.27,"住","","",1090412,"土地1建物1車位0","十層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",840220,110.34,3,2,2,"有","有",6200000,56190,"",0,0,"","RPVOMLTJOHPFFCB56CA",77.7,10.13,0,""
"西屯區","房地(土地+建物)","臺中市西屯區黎明路三段301~330號",3.36,"商","","",1090429,"土地1建物1車位0","一層","十三層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",840220,25.3,1,1,1,"有","有",1710000,67589,"",0,0,"","RPPPMLOJOHPFFCB18CA",14.06,3.55,0,""
"南屯區","房地(土地+建物)","臺中市南屯區向上路一段661~690號",8.71,"住","","",1090414,"土地1建物1車位0","十三層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",910219,78.61,1,1,1,"有","有",5800000,73782,"",0,0,"","RPRSMLNJOHPFFCB58CA",50.44,8.48,0,""
"西屯區","房地(土地+建物)","臺中市西屯區工業區一路58巷11弄1~30號",4.88,"住","","",1090426,"土地1建物1車位0","三層","十二層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",800911,30.87,1,1,1,"有","有",1750000,56689,"",0,0,"","RPRNMLPJOHPFFCB28CA",17.9,2.79,0,""
"南屯區","房地(土地+建物)","臺中市南屯區永春東路991~1020號",11.32,"住","","",1090517,"土地1建物1車位0","十二層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",960927,97.23,3,2,2,"有","有",7500000,77137,"",0,0,"","RPRQMLOJOHPFFCB48CA",60.09,10.44,0,""
"北區","房地(土地+建物)","臺中市北區陝西路91~120號",7.05,"住","","",1090506,"土地1建物1車位0","八層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",781102,76.89,1,1,1,"有","有",3300000,42918,"",0,0,"","RPWPMLKLOHPFFBB58CA",46.33,4.91,0,""
"北屯區","房地(土地+建物)","臺中市北屯區環太東路721~750號",181.59,"住","","",1090427,"土地2建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造",1021218,205.99,4,3,3,"有","無",24800000,120394,"",0,0,"含增建或未登記建物。;","RPQNMLLLOHPFFBB87CA",184.25,21.74,0,""
"北區","房地(土地+建物)","臺中市北區國強街38巷1~30號",59,"住","","",1090421,"土地2建物1車位0","全","二層","透天厝","住家用","鋼筋混凝土加強磚造",620830,67.2,2,2,2,"有","無",8540000,127083,"",0,0,"含增建或未登記建物。;私契與公契權利人不一.權利人2人各持分1/2.","RPWPMLRKOHPFFBB56CA",67.2,0,0,""
"北區","房地(土地+建物)","臺中市北區國泰街31~60號",24.89,"住","","",1090505,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",770210,106.83,3,2,2,"有","有",3710000,34728,"",0,0,"","RPQQMLPKOHPFFBB48CA",80.32,9.55,0,""
"北屯區","房地(土地+建物)","臺中市北屯區瀋陽路三段121~150號",21.45,"住","","",1090424,"土地1建物1車位0","一層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",740906,83.45,3,2,2,"有","無",4075000,48832,"",0,0,"含增建或未登記建物。;","RPTQMLPKOHPFFBB78CA",61,9.13,0,""
"北區","房地(土地+建物)","臺中市北區陝西東三街25巷1~30號",21.41,"住","","",1090428,"土地1建物1車位0","一層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",760108,65.68,2,1,2,"有","無",5700000,86784,"",0,0,"","RPUOMLPJOHPFFBB58CA",57.58,8.1,0,""
"北區","房地(土地+建物)","臺中市北區益華街61~90號",6.06,"住","","",1090503,"土地1建物1車位0","六層","七層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",810821,33.99,1,1,1,"有","無",2e+06,58841,"",0,0,"含增建或未登記建物。","RPPQMLKKOHPFFBB87CA",24,3.02,0,""
"西區","房地(土地+建物)","臺中市西區中華路一段15巷1~30號",58,"商","","",1090425,"土地2建物1車位0","全","五層","透天厝","住家用","鋼筋混凝土造",731214,225.35,9,9,8,"有","無",9200000,40825,"",0,0,"含增建或未登記建物。;","RPUOMLTKOHPFFAB98CA",196.86,28.49,0,""
"東區","房地(土地+建物)","臺中市東區復興路四段1~30號",129.8,"商","","",1090421,"土地4建物1車位0","全","二層","透天厝","住家用","見其他登記事項",NA,134.83,0,0,0,"無","無",32500000,241044,"",0,0,"","RPPOMLPKOHPFFAB08CA",113.95,20.88,0,""
"南區","房地(土地+建物)","臺中市南區南陽街91~120號",11.07,"住","","",1090507,"土地1建物1車位0","十三層","十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",830728,104.41,3,2,2,"有","有",5880000,56316,"",0,0,"","RPROMLPKOHPFFAB28CA",62.02,9.83,0,""
"南區","房地(土地+建物)","臺中市南區復興北路511~540號",16.68,"住","","",1090411,"土地2建物1車位0","六層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",821125,121.08,4,2,2,"有","有",5500000,45425,"",0,0,"","RPROMLOJOHPFFAB08CA",93.26,8.8,0,""
"東區","房地(土地+建物)","臺中市東區東英16街31~60號",21.54,"住","","",1090420,"土地2建物1車位0","五層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",811217,82.38,2,2,2,"有","有",3750000,45521,"",0,0,"","RPQPMLOJOHPFFAB08CA",61.85,10.45,0,""
"南區","房地(土地+建物)","臺中市南區忠明南路1261巷1~30號",85,"住","","",1090421,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造",650315,91.64,4,2,2,"有","無",10400000,113488,"",0,0,"","RPUOMLSJOHPFFAB78CA",91.64,0,0,""
"西區","房地(土地+建物)","臺中市西區三民路一段50巷1~30號",2.72,"住","","",1090509,"土地2建物1車位0","四層","十九層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",840113,35.48,1,0,1,"有","有",1750000,49324,"",0,0,"","RPQOMLTJOHPFFAB48CA",19.18,3.96,0,""
"東區","房地(土地+建物)","臺中市東區東英16街31~60號",24.67,"住","","",1090426,"土地2建物1車位0","五層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",811217,84.51,2,2,2,"有","有",3800000,44965,"",0,0,"","RPRPMLOJOHPFFAB18CA",65.52,7.44,0,""
"南區","房地(土地+建物)","臺中市南區工學北路121~150號",14.57,"住","","",1090426,"土地4建物1車位0","十三層","十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",840123,129.55,3,2,2,"有","有",6100000,47086,"",0,0,"","RPTOMLKKOHPFFAB97CA",89.58,8.35,0,""
"西區","房地(土地+建物)","臺中市西區五權五街133巷1~30號",87,"住","","",1090316,"土地2建物1車位0","全","二層","透天厝","住家用","見其他登記事項",600516,81,3,2,2,"有","無",13300000,164198,"",0,0,"含增建或未登記建物。","RPTOMLLKOHPFFAB08CA",81,0,0,""
"東區","房地(土地+建物)","臺中市東區東英路410巷1~30號",78.22,"住","","",1090211,"土地1建物1車位0","全","一層","透天厝","住家用","加強磚造",650210,51.07,3,2,1,"有","無",6200000,121402,"",0,0,"平房","RPTPMLMKOHPFFAB28CA",51.07,0,0,""
"東區","房地(土地+建物)","臺中市東區東英路410巷1~30號",76.18,"住","","",1090211,"土地1建物1車位0","全","一層","透天厝","住家用","加強磚造",650210,51.07,2,2,1,"有","無",6450000,126297,"",0,0,"平房","RPVPMLMKOHPFFAB48CA",51.07,0,0,""
"西區","房地(土地+建物)","臺中市西區民生路181~210號",4.14,"住","","",1090516,"土地2建物4車位0","九層","十二層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",780515,36.9,1,1,1,"有","有",2150000,58266,"",0,0,"","RPXNMLRKOHPFFAB98CA",26.96,3.98,0,""
"西區","房地(土地+建物)","臺中市西區民權路213巷1~30號",19.07,"住","","",1090510,"土地1建物1車位0","七層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",670118,93.37,4,0,4,"有","無",7300000,78184,"",0,0,"","RPOQMLKLOHPFFAB77CA",93.37,0,0,""
"北區","房地(土地+建物)","臺中市北區五權路301~330號",4.51,"住","","",1090508,"土地1建物1車位0","十二層","十二層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",830310,48.32,1,1,1,"有","有",2100000,43460,"",0,0,"","RPQPMLLKOHPFFBB97CA",29.15,9.2,0,""
"北屯區","房地(土地+建物)","臺中市北屯區松竹路二段305巷1~30號",17.48,"住","","",1090419,"土地1建物1車位0","一層","八層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",821018,81.03,2,1,2,"有","有",4420000,54548,"",0,0,"","RPTPMLTJOHPFFBB98CA",56.73,3.68,0,""
"北區","房地(土地+建物)","臺中市北區益華街16巷1~30號",35.34,"住","","",1090426,"土地3建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",690619,131.29,8,0,8,"有","無",9500000,72359,"",0,0,"含增建或未登記建物。;","RPSQMLTJOHPFFBB98CA",95.01,13.03,0,""
"北區","房地(土地+建物)","臺中市北區永興街181~210號",23.87,"住","","",1090419,"土地4建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",680123,76.97,3,2,2,"有","無",4600000,59764,"",0,0,"","RPWNMLTJOHPFFBB09CA",72.95,4.02,0,""
"北區","房地(土地+建物)","臺中市北區太原路二段181~210號",10.25,"商","","",1090427,"土地1建物1車位0","十一層","十四層","住宅大樓(11層含以上有電梯)","住家用","見其他登記事項",930903,101.07,3,2,2,"有","有",6800000,67280,"",0,0,"含增建或未登記建物。","RPQOMLSJOHPFFBB48CA",58.73,15.94,0,""
"北區","房地(土地+建物)","臺中市北區三民路三段315巷1~30號",3.98,"住","","",1090511,"土地1建物1車位0","七層","七層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",800415,31.72,1,0,1,"有","有",2200000,69357,"",0,0,"","RPROMLSJOHPFFBB58CA",20.34,6.57,0,""
"北區","房地(土地+建物)","臺中市北區學士路211~240號",27.52,"住","","",1090507,"土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",680303,74.81,3,2,1,"有","無",3450000,46117,"",0,0,"","RPUOMLSJOHPFFBB88CA",74.81,0,0,""
"北區","房地(土地+建物)","臺中市北區美德街352巷1~30號",24.43,"住","","",1090330,"土地1建物1車位0","三層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",690214,92.96,3,2,2,"有","有",4500000,48408,"",0,0,"","RPPPMLPJOHPFFBB18CA",85.98,6.98,0,""
"北區","房地(土地+建物)","臺中市北區健行路421~450號",3.96,"住","","",1090509,"土地1建物1車位0","十六層","十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",840526,31.56,1,1,1,"有","有",1350000,42776,"",0,0,"","RPVNMLQKOHPFFBB78CA",16.47,2.69,0,""
"北區","房地(土地+建物)","臺中市北區進化北路241~270號",4.34,"住","","",1090502,"土地1建物1車位0","十二層","十三層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",821014,46.99,1,0,1,"有","有",2e+06,42562,"",0,0,"","RPSSMLMKOHPFFBB58CA",27.63,0,0,""
"北區","房地(土地+建物)","臺中市北區光大街91~120號",24.01,"住","","",1090508,"土地2建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",720210,111.52,5,0,5,"有","無",5060000,45373,"",0,0,"含增建或未登記建物。;","RPOQMLRKOHPFFBB48CA",81.23,14.04,0,""
"北屯區","房地(土地+建物)","臺中市北屯區文昌東四街61~90號",20.2,"住","","",1090429,"土地1建物1車位0","二層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",730417,78.77,3,2,2,"有","無",4880000,61953,"",0,0,"","RPRQMLOLOHPFFBB58CA",74.92,3.85,0,""
"北屯區","房地(土地+建物)","臺中市北屯區遼寧路一段31巷1~30號",35.4,"住","","",1090504,"土地2建物1車位0","三層","五層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",790220,162.47,4,2,2,"有","無",7900000,48624,"",0,0,"","RPQNMLOLOHPFFBB18CA",111.05,15.81,0,""
"北區","房地(土地+建物)","臺中市北區太原九街1~30號",25.7,"住","","",1090422,"土地1建物2車位0","二層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",741205,70.6,2,1,1,"有","有",4480000,63456,"",0,0,"","RPQNMLKLOHPFFBB77CA",67.84,2.76,0,""
"西屯區","房地(土地+建物)","臺中市西屯區福瑞街27巷1~30號",10.16,"住","","",1090519,"土地1建物1車位0","六層","十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",830723,97.15,3,1,2,"有","有",2800000,28821,"",0,0,"親友、員工或其他特殊關係間之交易。;","RPXNMLSJOHPFFCB56CA",66.79,6.12,0,""
"西屯區","房地(土地+建物)","臺中市西屯區西屯路二段惠安巷162弄1~30號",105,"住","","",1090505,"土地1建物1車位0","全","二層","透天厝","住家用","見其他登記事項",620531,91.74,11,11,11,"有","無",15880000,173098,"",0,0,"含增建或未登記建物。;","RPPNMLPJOHPFFCB08CA",91.74,0,0,""
"西屯區","房地(土地+建物)","臺中市西屯區福科路340巷1~30號",9.14,"住","","",1090430,"土地1建物1車位0","十一層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",830826,82.84,2,2,1,"有","有",5120000,61806,"",0,0,"","RPXPMLOJOHPFFCB98CA",60.28,8.93,0,""
"西屯區","房地(土地+建物)","臺中市西屯區中康街181~210號",11.33,"住","","",1090410,"土地1建物1車位0","三層","八層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",850302,81.21,3,2,1,"有","有",4500000,55412,"",0,0,"含增建或未登記建物。;","RPOOMLOJOHPFFCB97CA",47.84,18.43,0,""
"南屯區","房地(土地+建物)","臺中市南屯區黎明路二段421~450號",9.16,"住","","",1090504,"土地1建物1車位0","十三層","十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",840919,96.54,2,2,2,"有","有",5700000,59043,"",0,0,"","RPTRMLTJOHPFFCB66CA",60.54,9.51,0,""
"西屯區","房地(土地+建物)","臺中市西屯區工業區三十八路91~120號",6.61,"住","","",1090512,"土地1建物1車位0","六層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",820803,38.78,1,1,1,"有","有",1550000,39969,"",0,0,"","RPWQMLTJOHPFFCB86CA",24.63,2.94,0,""
"西屯區","房地(土地+建物)","臺中市西屯區東大路一段391~420號",7.17,"住","","",1090506,"土地1建物1車位0","五層","十九層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",840121,79.34,2,1,1,"有","有",3800000,47895,"",0,0,"","RPRRMLSJOHPFFCB98CA",50.74,7.14,0,""
"西屯區","房地(土地+建物)","臺中市西屯區西屯路三段159之11巷9弄1~30號",16.79,"住","","",1090503,"土地1建物1車位0","十三層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",821129,137.85,4,2,2,"有","有",7150000,51868,"",0,0,"","RPSOMLTJOHPFFCB88CA",110.97,10.63,0,""
"西屯區","房地(土地+建物)","臺中市西屯區太原路一段241~270號",18.54,"住","","",1090512,"土地2建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",760714,69.93,2,2,1,"有","無",3650000,52195,"",0,0,"","RPTNMLKKOHPFFCB08CA",54.33,6.01,0,""
