"鄉鎮市區","交易標的","土地區段位置建物區段門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位移轉總面積平方公尺","車位總價元","備註","編號"
"北屯區","房地(土地+建物)","臺中市北屯區北屯路56巷91~120號",69,"住","","",1081024,"土地2建物1車位0","全","二層","透天厝","住家用","鋼筋混凝土加強磚造","0570611",84.6,3,2,2,"有","無",7200000,85106,"",0,0,"","RPOPMLOJKIOFFBB57CA"
"北屯區","房地(土地+建物)","臺中市北屯區文昌東五街2巷1~30號",112.04,"商","","",1081019,"土地2建物1車位0","全","二層","透天厝","住家用","加強磚造","0720406",144.33,5,2,3,"有","無",15100000,104621,"",0,0,"含增建或未登記建物。;權利人2人,各持分1/2","RPQNMLPJKIOFFBB67CA"
"北屯區","房地(土地+建物)","臺中市北屯區文心路四段631~660號",5.28,"商","","",1081023,"土地1建物1車位0","十層","二十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0860416",74.83,1,1,1,"有","有",3100000,41427,"",0,0,"","RPTNMLQJKIOFFBB08CA"
"北區","房地(土地+建物)","臺中市北區美德街347巷1~30號",21.28,"住","","",1081021,"土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0680327",70.94,4,0,4,"有","無",5400000,76121,"",0,0,"","RPSPMLPJKIOFFBB08CA"
"北區","房地(土地+建物)","臺中市北區漢口路四段91~120號",2.41,"住","","",1081109,"土地1建物1車位0","四層","十四層","套房(1房1廳1衛)","住家用","鋼筋混凝土造","0850716",33.44,1,1,1,"有","有",1780000,53230,"",0,0,"","RPTOMLMJKIOFFBB77CA"
"北區","房地(土地+建物)","臺中市北區英才路361~390號",25.34,"住","","",1081111,"土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0711202",85.98,3,2,1,"有","有",4300000,50012,"",0,0,"","RPROMLTLJIOFFBB38CA"
"北區","房地(土地+建物)","臺中市北區國豐街70巷1~30號",55,"住","","",1080923,"土地1建物1車位0","全","二層","透天厝","住家用","鋼筋混凝土加強磚造","0620421",69.12,2,3,2,"有","無",8180000,118345,"",0,0,"含增建或未登記建物。","RPOOMLKMJIOFFBB27CA"
"北區","房地(土地+建物)","臺中市北區育德路131巷1~30號",14.88,"住","","",1080828,"土地3建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0710728",54.82,2,2,1,"有","無",2720000,49617,"",0,0,"","RPPPMLMJKIOFFBB47CA"
"北區","房地(土地+建物)","臺中市北區育祥街31~60號",28.2,"商","","",1080919,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0670112",92.92,3,2,2,"有","無",4600000,49505,"",0,0,"","RPXNMLRLJIOFFBB68CA"
"北區","房地(土地+建物)","臺中市北區國強街24巷1~30號",21.23,"住","","",1081028,"土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0711111",66.21,2,2,1,"有","有",2090000,31566,"",0,0,"","RPVPMLQLJIOFFBB58CA"
"西區","房地(土地+建物)","臺中市西區三民路一段50巷1~30號",2.04,"住","","",1081008,"土地2建物1車位0","五層","十九層","套房(1房1廳1衛)","住家用","鋼筋混凝土造","0840113",26.41,1,1,1,"有","有",1030000,39000,"",0,0,"","RPSNMLTJKIOFFAB18CA"
"南區","房地(土地+建物)","臺中市南區大慶街一段257之3巷1~30號",13.54,"住","","",1081017,"土地1建物1車位0","五層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0810604",85.78,2,2,2,"有","有",4420000,51527,"",0,0,"","RPVOMLTLJIOFFAB68CA"
"南區","房地(土地+建物)","臺中市南區工學路146巷1~30號",11.51,"住","","",1081023,"土地1建物1車位0","十四層","二十一層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0860918",143.26,4,2,2,"有","有",5650000,39439,"",0,0,"","RPQOMLRLJIOFFAB97CA"
"南區","房地(土地+建物)","臺中市南區五權南一路61~90號",72,"住","","",1081105,"土地2建物1車位0","全","三層","透天厝","住家用","鋼筋混凝土造","0700622",150.53,4,2,3,"有","無",2980500,19800,"",0,0,"親友、員工或其他特殊關係間之交易。;","RPWOMLRLJIOFFAB58CA"
"東區","房地(土地+建物)","臺中市東區立德街31~60號",14.8,"商","","",1081102,"土地2建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0780301",75.31,6,2,6,"有","無",3200000,42491,"",0,0,"含增建或未登記建物。;","RPPNMLRKKIOFFAB77CA"
"南區","房地(土地+建物)","臺中市南區美和街91~120號",11.2,"住","","",1081101,"土地1建物1車位0","四層","七層","套房(1房1廳1衛)","住家用","鋼筋混凝土造","0830514",65.05,1,1,1,"有","無",3100000,47656,"",0,0,"","RPTNMLKKKIOFFAB47CA"
"東區","房地(土地+建物)","臺中市東區建勇街1~30號",65,"住","","",1081104,"土地1建物1車位0","全","二層","透天厝","住家用","見其他登記事項","0600315",121.25,4,2,3,"有","無",7600000,62680,"",0,0,"含增建或未登記建物。","RPTOMLLKKIOFFAB67CA"
"中區","房地(土地+建物)","臺中市中區大誠街39巷2之1~30號",8.42,"住","","",1081022,"土地1建物1車位0","六層","六層","華廈(10層含以下有電梯)","住家用","見其他登記事項","0610201",53.48,2,1,1,"有","有",1800000,33657,"",0,0,"含增建或未登記建物。;","RPSNMLNLKIOFFAB77CA"
"西區","房地(土地+建物)","臺中市西區大忠南街92巷1~30號",72,"住","","",1081112,"土地1建物1車位0","全","一層","透天厝","住家用","見其他登記事項","0610724",49.73,2,1,1,"有","無",11600000,233260,"",0,0,"","RPUNMLQKKIOFFAB28DA"
"太平區","房地(土地+建物)","臺中市太平區東村十二街31巷6弄1~30號",105.99,"住","","",1081027,"土地4建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造","0830517",205.35,5,3,2,"有","無",9300000,45289,"",0,0,"","RPUNMLSKKIOFFJB66CA"
"太平區","房地(土地+建物)","臺中市太平區中山路二段541巷1弄1~30號",91.01,"","鄉村區","乙種建築用地",1081018,"土地1建物1車位0","全","二層","透天厝","住家用","鋼筋混凝土造","0680225",99.2,6,3,4,"有","無",9080000,91532,"",0,0,"含增建或未登記建物。;1.2樓後增建及3樓增建及1樓前院車庫","RPTNMLNJKIOFFJB58CA"
"太平區","房地(土地+建物)","臺中市太平區大興十六街96巷1~30號",72.37,"","鄉村區","乙種建築用地",1081013,"土地2建物1車位0","全","三層","透天厝","住家用","鋼筋混凝土造","0861111",130.57,3,2,3,"有","無",5600000,42889,"",0,0,"","RPSNMLQJKIOFFJB78CA"
"太平區","房地(土地+建物)","臺中市太平區太平十五街7巷1~30號",78.82,"住","","",1080923,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造","0680115",85.02,3,2,2,"有","無",6800000,79981,"",0,0,"","RPWNMLSKKIOFFJB86CA"
"龍井區","房地(土地+建物)","臺中市龍井區藝術街61巷1~30號",6.23,"住","","",1081116,"土地1建物1車位0","五層","五層","套房(1房1廳1衛)","住家用","鋼筋混凝土造","0781030",26.37,1,1,1,"有","無",850000,32234,"",0,0,"","RPVNMLSLJIOFFKB86CA"
"大肚區","房地(土地+建物)","臺中市大肚區自由路222巷1~30號",14.9,"住","","",1081108,"土地1建物1車位0","七層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0840401",105.91,3,2,2,"有","無",3100000,29270,"",0,0,"","RPQNMLQLKIOFFKB88CA"
"霧峰區","房地(土地+建物)","臺中市霧峰區草湖路91~120號",72,"住","","",1081107,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造","0630416",129.38,4,2,2,"有","無",5900000,45602,"",0,0,"","RPRNMLTLJIOFFIB09DA"
"北區","房地(土地+建物)","臺中市北區梅川東路三段151~180號",24.37,"住","","",1081024,"土地1建物1車位0","三層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0750912",129.55,3,2,2,"有","無",5453003,42092,"",0,0,"","RPQPMLRLKIOFFBB38DA"
"中區","房地(土地+建物)","臺中市中區民權路151~180號",1.93,"商","","",1081026,"土地2建物1車位0","二十三層","二十八層","套房(1房1廳1衛)","住家用","見其他登記事項","0860131",37.55,1,0,1,"有","有",1700000,45273,"",0,0,"","RPOOMLRLJIOFFAB77CA"
"南區","房地(土地+建物)","臺中市南區德富路271~300號",19.05,"其他","","",1081024,"土地2建物1車位0","十層","十層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0831102",103.76,3,2,2,"有","無",3500000,33732,"",0,0,"","RPQOMLSLJIOFFAB08CA"
"南區","房地(土地+建物)","臺中市南區學府路168巷1~30號",7.75,"住","","",1081025,"土地3建物1車位0","十三層","十九層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0860428",86.85,2,2,1,"有","有",4800000,55268,"",0,0,"","RPUNMLMJKIOFFAB67CA"
"西區","房地(土地+建物)","臺中市西區長春街25巷1~30號",35.72,"住","","",1080923,"土地1建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0660921",74.2,3,2,1,"有","無",3500000,47170,"",0,0,"","RPVOMLSLJIOFFAB58CA"
"西區","房地(土地+建物)","臺中市西區中美街91~120號",23.4,"住","","",1081104,"土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0670622",70.78,3,2,1,"有","無",3640000,51427,"",0,0,"","RPXNMLNJKIOFFAB08CA"
"南區","房地(土地+建物)","臺中市南區永南街61~90號",80,"住","","",1081020,"土地1建物1車位0","全","二層","透天厝","住家用","見其他登記事項","0610914",105.79,3,1,2,"有","無",13500000,127611,"",0,0,"親友、員工或其他特殊關係間之交易。;","RPWPMLOJKIOFFAB28CA"
"北區","房地(土地+建物)","臺中市北區國強街132巷1~30號",94,"住","","",1081027,"土地1建物1車位0","全","二層","透天厝","住家用","鋼筋混凝土加強磚造","0621129",94.38,4,3,3,"有","無",7500000,79466,"",0,0,"","RPUNMLSLJIOFFBB48CA"
