"鄉鎮市區","交易標的","土地區段位置建物區段門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位移轉總面積平方公尺","車位總價元","備註","編號"
"西區","房地(土地+建物)","臺中市西區自立街25巷1弄1~30號",38.1,"住","","",1080330,"土地3建物1車位0","三層","三層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",630504,64.34,3,2,1,"有","無",3250000,50513,"",0,0,"","RPXPMLOKNHOFFAB68CA"
"西區","房地(土地+建物)","臺中市西區民生路121~150號",4.83,"住","","",1080417,"土地1建物1車位0","四層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",820501,29.52,1,1,1,"有","有",1500000,50813,"",0,0,"","RPPNMLPKNHOFFAB77CA"
"西區","房地(土地+建物)","臺中市西區精誠21街31~60號",13,"住","","",1080410,"土地1建物1車位0","二層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",821006,94.93,3,1,3,"有","有",5350000,56357,"",0,0,"","RPSOMLPKNHOFFAB18CA"
"南區","房地(土地+建物)+車位","臺中市南區德富路121~150號",7.33,"住","","",1080410,"土地1建物1車位1","九層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",890518,102.92,2,2,1,"有","有",6e+06,58298,"坡道平面",26.63,0,"","RPTOMLNKNHOFFAB08CA"
"西區","房地(土地+建物)","臺中市西區昇平街145巷1~30號",20.74,"住","","",1080407,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",680517,74.94,3,2,1,"有","無",3e+06,40032,"",0,0,"","RPWPMLPKNHOFFAB68CA"
"南區","房地(土地+建物)+車位","臺中市南區學府路151~180號",14.6,"住","","",1080424,"土地3建物1車位1","十一層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",831228,154.28,4,2,2,"有","有",7500000,48613,"坡道平面",0,1000000,"親友、員工或其他特殊關係間之交易。;","RPTNMLRKNHOFFAB38CA"
"西區","房地(土地+建物)+車位","臺中市西區精誠十一街1~30號",33.87,"住","","",1080413,"土地1建物1車位1","五層","五層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",810422,146.63,3,2,1,"有","有",8650000,58992,"坡道平面",0,1000000,"含增建或未登記建物。物件有電梯。","RPXNMLLLNHOFFAB28CA"
"南區","房地(土地+建物)","臺中市南區臺中路376巷1~30號",128,"住","","",1080403,"土地1建物1車位0","全","二層","透天厝","住家用","見其他登記事項",NA,135.53,4,2,2,"有","無",8e+06,59028,"",0,0,"","RPTSMLOLNHOFFAB68CA"
"西區","房地(土地+建物)","臺中市西區三民路一段39巷3弄1~30號",3.61,"商","","",1080409,"土地3建物1車位0","八層","十二層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",830504,36.51,1,0,1,"有","有",1150000,31498,"",0,0,"","RPTPMLLMNHOFFAB18CA"
"南區","房地(土地+建物)","臺中市南區忠明南路777巷1~30號",14.12,"住","","",1080407,"土地1建物1車位0","九層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",870507,107.77,3,2,2,"有","有",5700000,52890,"",0,0,"","RPRNMLQJOHOFFAB08CA"
