"鄉鎮市區","交易標的","土地區段位置建物區段門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位移轉總面積平方公尺","車位總價元","備註","編號"
"南區","房地(土地+建物)","臺中市南區忠明南路1305巷1弄1~30號",72,"住","","",1071231,"土地2建物1車位0","全","二層","透天厝","住家用","見其他登記事項",571019,89.8,6,0,6,"有","無",6200000,69042,"",0,0,"","RPXNMLNKKHOFFAB08CA"
"南區","房地(土地+建物)","臺中市南區工學一街167巷1~30號",10.98,"住","","",1080123,"土地1建物1車位0","六層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",870930,65.94,2,1,1,"有","有",3380000,51259,"",0,0,"","RPSOMLPKKHOFFAB87CA"
"北區","房地(土地+建物)","臺中市北區榮華街15巷1~30號",25.93,"住","","",1071218,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",680326,79.83,4,0,4,"有","無",4580000,57372,"",0,0,"含增建或未登記建物。;","RPXNMLMKKHOFFBB08CA"
"北區","房地(土地+建物)","臺中市北區梅亭街511~540號",14,"住","","",1080109,"土地2建物1車位0","全","二層","透天厝","住家用","鋼筋混凝土加強磚造",600120,139.18,2,1,2,"有","無",4500000,32332,"",0,0,"親友、員工或其他特殊關係間之交易。;包含公共設施保留地之交易。;","RPUOMLMKKHOFFBB87CA"
"北區","房地(土地+建物)+車位","臺中市北區漢口路三段55巷1~30號",77.56,"住","","",1071224,"土地3建物1車位1","全","五層","透天厝","住家用","鋼筋混凝土造",900120,250.57,5,2,3,"有","無",1.6e+07,63854,"坡道平面",14.98,0,"","RPUOMLNKKHOFFBB97CA"
"北區","房地(土地+建物)","臺中市北區東成路47巷1~30號",14.68,"住","","",1071229,"土地1建物1車位0","三層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",821028,109.44,3,2,2,"有","有",4500000,41118,"",0,0,"","RPXNMLOKKHOFFBB28CA"
"北屯區","房地(土地+建物)","臺中市北屯區仁美十巷91~120號",15.44,"住","","",1071121,"土地8建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",710226,75.62,3,2,1,"有","無",3620000,47871,"",0,0,"","RPTPMLOKKHOFFBB08CA"
"北區","房地(土地+建物)+車位","臺中市北區育德路61~90號",44.07,"住","","",1080105,"土地2建物1車位2","二層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1000127,358.57,4,2,2,"有","有",26080000,72733,"坡道平面",98.7,0,"","RPUPMLOKKHOFFBB18CA"
"北區","房地(土地+建物)","臺中市北區崇德路一段256巷1~30號",16.32,"住","","",1071225,"土地1建物1車位0","八層","八層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",701212,94.25,3,0,3,"有","無",4180000,44350,"",0,0,"","RPVPMLPKKHOFFBB38CA"
"北屯區","房地(土地+建物)","臺中市北屯區瀋陽路三段361~390號",21.25,"住","","",1071229,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",740923,82.12,3,2,1,"有","無",2820000,34340,"",0,0,"","RPRNMLTKKHOFFBB18CA"
