"鄉鎮市區","交易標的","土地區段位置建物區段門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位移轉總面積平方公尺","車位總價元","備註","編號"
"南區","房地(土地+建物)+車位","臺中市南區工學路121~150號",13.89,"住","","",1080702,"土地1建物1車位1","五層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",830711,122.28,3,2,2,"有","有",5100000,41708,"坡道機械",0,0,"","RPQSMLMKQHOFFAB38CA"
"東區","房地(土地+建物)","臺中市東區立德東街6巷1~30號",58,"住","","",1080726,"土地1建物1車位0","全","二層","透天厝","住家用","見其他登記事項",630207,88.49,3,2,2,"有","無",2500000,28252,"",0,0,"親友、員工或其他特殊關係間之交易。;受債權債務影響或債務抵償之交易。;","RPXOMLNKQHOFFAB78CA"
"西區","房地(土地+建物)+車位","臺中市西區中興六巷1~30號",17.05,"住","","",1080718,"土地1建物1車位1","一層","五層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",810219,64.29,2,1,1,"有","有",4500000,69995,"升降機械",0,0,"","RPPNMLMLQHOFFAB87CA"
"東區","房地(土地+建物)","臺中市東區東光園路177巷1~30號",86.7,"住","","",1080725,"土地4建物1車位0","全","五層","透天厝","住家用","鋼筋混凝土造",860106,185.3,5,3,4,"有","有",9e+06,48570,"",0,0,"","RPRNMLKMQHOFFAB97CA"
"北區","房地(土地+建物)+車位","臺中市北區進化路301~330號",9.99,"住","","",1080623,"土地1建物1車位1","十二層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",811228,90.59,2,2,1,"有","有",4e+06,44155,"升降機械",0,0,"","RPXPMLMKQHOFFBB88CA"
"北屯區","房地(土地+建物)+車位","臺中市北屯區安順東八街1~30號",23.62,"住","","",1080707,"土地1建物1車位1","四層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",790601,144.84,3,2,2,"有","有",5520000,38111,"坡道機械",0,0,"","RPWOMLNKQHOFFBB78CA"
"北區","房地(土地+建物)","臺中市北區太原八街91~120號",6.55,"住","","",1080722,"土地1建物1車位0","六層","七層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",830705,42.44,1,1,1,"有","有",1280000,30160,"",0,0,"","RPPPMLNKQHOFFBB18CA"
"北屯區","房地(土地+建物)+車位","臺中市北屯區遼寧路二段61~90號",20.73,"住","","",1080709,"土地1建物1車位1","九層","九層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",830207,152.72,3,2,2,"有","有",6900000,45181,"坡道平面",0,0,"","RPROMLOKQHOFFBB38CA"
"北區","房地(土地+建物)","臺中市北區文昌東一街83巷1~30號",30.46,"住","","",1080714,"土地1建物1車位0","二層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",760625,96.48,3,2,2,"有","無",5920000,61360,"",0,0,"","RPTQMLOKQHOFFBB78CA"
"北屯區","房地(土地+建物)","臺中市北屯區柳陽東街91~120號",20.18,"住","","",1080716,"土地1建物2車位0","一層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",801018,112.01,3,2,2,"有","有",5500000,49103,"",0,0,"親友、員工或其他特殊關係間之交易。;","RPRRMLOKQHOFFBB68CA"
"北屯區","房地(土地+建物)","臺中市北屯區柳陽東街91~120號",20.09,"住","","",1080716,"土地1建物2車位0","一層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",801018,112.37,3,2,2,"有","有",5500000,48945,"",0,0,"親友、員工或其他特殊關係間之交易。;","RPSRMLOKQHOFFBB78CA"
"北屯區","房地(土地+建物)","臺中市北屯區太原路三段111巷1~30號",34.29,"住","","",1080710,"土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",691016,106.05,3,2,2,"有","無",4300000,40547,"",0,0,"","RPWRMLOKQHOFFBB56CA"
