"鄉鎮市區","交易標的","土地區段位置建物區段門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位移轉總面積平方公尺","車位總價元","備註","編號"
"南區","房地(土地+建物)","臺中市南區忠明南路1231~1260號",28.5,"住","","",1070912,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",750917,111.02,4,1,4,"有","無",6150000,55395,"",0,0,"","RPQNMLNKJINFFAB27CA"
"東區","房地(土地+建物)","臺中市東區忠孝路290巷1~30號",42,"住","","",1071009,"土地3建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",700513,77.38,2,2,2,"有","無",2550000,32954,"",0,0,"","RPWNMLNKJINFFAB87CA"
"東區","房地(土地+建物)","臺中市東區進化路138巷1~30號",17,"住","","",1071010,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",701111,46.81,2,1,1,"有","無",2200000,46999,"",0,0,"","RPSOMLNKJINFFAB57CA"
"西區","房地(土地+建物)","臺中市西區向上路一段79巷66弄1~30號",73,"住","","",1071007,"土地2建物1車位0","一層，二層","二層","店面(店鋪)","住家用","見其他登記事項",610331,83.58,5,2,3,"有","無",1.8e+07,215363,"",0,0,"","RPUNMLMLJINFFAB67CA"
"南區","房地(土地+建物)+車位","臺中市南區復興北路361~390號",12.38,"其他","","",1071014,"土地1建物1車位1","七層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",890518,155.38,3,2,2,"有","有",9500000,61140,"坡道平面",26.63,0,"","RPSNMLOLJINFFAB67CA"
"南區","房地(土地+建物)","臺中市南區建國北路二段8巷1~30號",30.38,"住","","",1071018,"土地2建物1車位0","二層","五層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",810213,127.01,3,2,2,"有","有",4700000,37005,"",0,0,"有電梯","RPXOMLKMJINFFAB97CA"
"西區","房地(土地+建物)","臺中市西區忠義街8巷31~60號",23.9,"住","","",1071004,"土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",710701,84.06,2,1,1,"有","無",3750000,44611,"",0,0,"含增建或未登記建物。;","RPQPMLNJKINFFAB47CA"
"南區","房地(土地+建物)","臺中市南區民生路9巷1~30號",57,"住","","",1071010,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造",680118,88.08,3,2,3,"有","無",6500000,73797,"",0,0,"含增建或未登記建物。;","RPURMLOJKINFFAB18CA"
"西區","房地(土地+建物)","臺中市西區五權西六街91~120號",81,"住","","",1070812,"土地1建物1車位0","全","二層","透天厝","住家用","見其他登記事項",600920,56.26,4,2,2,"有","無",16800000,298614,"",0,0,"","RPPOMLQJKINFFAB57CA"
"北區","房地(土地+建物)","臺中市北區陝西八街1~30號",19.13,"住","","",1070910,"土地4建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",720817,88.49,3,2,1,"有","無",3200000,36162,"",0,0,"增建第六樓。","RPUPMLMKJINFFBB87CA"
